subject_tag,subject_term,verb_lemma,total_count,objects
m,alloyed silver,produce,1,film
pa,Almond trees,lose,1,their sap
m,Aloe,make,1,brighter color
m,Alum water,keep,1,oil
m,Amber,lose,1,its color
m,amber,overtake,1,the principal scent
m,another fragrant one that resembles olive oil,resemble,1,olive oil
pa,Apricot trees,have,1,a very thin bark
m,Ash,have,1,enough body
m,ash,heat,1,the guards
m,Azur d'esmail,hat,1,more
m,azure,require,1,a little fatty oil
m,ben oil,put,1,your ambergris
m,Black lead of saulmon,make,1,one
m,Bone,have,1,scarcely any body
m,borax,weigh,1,half
m,Brick,cool,1,the metal
m,bristles of beech martens & weasels & small animals that make musk,make,1,musk
m,Burnt linen,give,1,less trouble
m,Chalk,have,1,no body
m,charcoal,give,1,color
m,clay,bring,1,the wax
m,clay earth with which one makes tiles,make,1,tiles
m,coarse sand,communicate,1,its humidity
m,cold water,repel,1,the oil
m,common charcoal,make,1,black
m,Copper,have,1,a similar hardness
m,coral,endure,1,the file
m,cornflower,make,1,a very beautiful blue
m,cristallin,contain,1,both salt
m,dragon's blood,carry,1,its mastic
m,Dust,keep,1,wheat
m,earth,drink,1,the metal
m,Eau-de-vie,do,4,much (4)
m,eau-de-vie,mix,1,little
m,Eau-de-vie,prevent,3,the sand (3)
m,elm,have,1,beautiful streaks
m,fatty metal,need,1,lean sand
m,feather alum,resist,1,the fire
m,Fine tin,make,1,a substance
m,German tokens,contain,1,a lot
m,Glair of eggs,give,1,strength
m,glowing charcoal,stop,1,the space
m,gold,have,2,beautiful enough color; the thickness
m,gold,reach,1,its perfect heat
m,Gold,render,1,the enamel
m,Good plaster,keep,1,a long time
m,grey earth,dry,1,the mold
m,horn,present,1,a luster & fatty polish
m,Iron wire,have,1,a lower price
m,lake,lose,1,their color
m,lake,require,1,two layers
m,lamb tallow,tallow,1,the size
m,Latten,lose,1,its calamine
m,Latten,welcome,1,softer files
m,latten from skillets in which one makes the mush for little children,make,1,the mush
m,lead,take,1,hold
m,lean earth of which the founders of artillery & bells make their trusseaulx and molds,make,1,their trusseaulx
m,light earth,hold,1,first rank
pa,marigold,give,1,some color
m,Mastic varnish,resist,1,rain
m,metal,cost,1,xv lb & fine rosette xv
m,metal,enter,1,the mold
m,metal,run,1,roll wax
m,metal,touch,1,the frame's iron
m,Minium,give,1,color
pa,mosses,apply,1,Molding
m,oil,have,2,a little body; body
m,oil,leave,1,the paper
m,oil,make,1,no thickness
m,oil,receive,1,color
m,oil,take,1,a long time
m,"plant which grows in hedges, which has a stem similar to flax, a long & broad leaf like small bugloss, which has a violet flower verging on blue & is shaped like the lily flower",have,2,a stem; a violet flower
m,"plant which grows in hedges, which has a stem similar to flax, a long & broad leaf like small bugloss, which has a violet flower verging on blue & is shaped like the lily flower",make,1,a very beautiful turquin
m,Plaster,withstand,1,fire
m,powder,have,1,its effect
m,powder,make,1,more
m,Prunes of Saint Antonin,want,1,leaves
m,red poppy,make,1,a very beautiful columbine
pa,rose,have,1,great volume
m,rubified antimony,make,1,jacinth
m,ruby,want,2,fire; more time
m,sand,make,1,dust
m,sand,surpass,1,the edges
m,sand,withstand,2,the fire (2)
m,"Sand from oxen feet, burned twice & finely ground",burn,1,ground
m,sand that releases well,have,1,body
m,sands,withstand,1,one casting
m,shells,make,1,an impalpable white sand
m,Silver,need,1,a longish gate
m,Silver,tolerate,1,the water
m,skin,cost,1,fifty or lx sous
m,slate,retain,1,its asperity
m,Slightly coarser sand,have,1,more body
m,smokes,put,1,some more borax
m,soap water,turn,1,the piece
m,Soft wood charcoal,make,1,a bluish color
m,soot black,give,1,a fine sheen
m,spike lavender oil,eat,1,the colors
m,stucco,have,1,the quality
m,Sublimated arsenic,make,1,a beautiful flesh color
m,Sulfur,make,1,the same effect
m,"Tanner's earth, or the one with which potters make a whitening on pots",make,1,a whitening
m,tempered sand,change,1,their form
m,The one from Champaigne,fetch,1,the price
m,Thoroughly burnt sand,lose,1,its bond
m,tin,cast,1,thick retracts
m,tin,exceed,2,more than one part; the lead
m,tin leaf,give,1,light
m,Turpentine varnish,need,1,any glue
m,Urine,give,3,-; much tincture; vie
m,varnish,have,1,body
m,verdigris,have,1,depth
m,vermeilles,fear,1,fire
m,vinegar,give,2,any bond; strength
m,vinegar,have,1,much more strength
m,water,have,1,as much dregs
m,water,rest,1,little
m,water,take,1,a slight tint
m,wax,have,1,more
m,Wax,keep,1,its heat
m,wax,pass,1,its high heat
m,wax,touch,1,this wax
m,white wax,have,1,such little substance
m,white wine,remove,1,its tint
m,wine,lose,1,its sweetness
m,wood,imbibe,1,very hot wax
m,Yellow arsenic,have,1,a very beautiful color
m,☾,have,1,a tint
m,☿,clean,1,the ash
