div_id,categories,subject_tag,subject_label,subject_term,verb_lemma,verb_form,passive,obj_text,obj_tag,sentence
p001r_3,lists,pn,Personal Name,Angelius Bargæus,scripsit,scripsit,False,monsieur Cathalogue des villes Calendrier des bergiers Grammaire italiene Arithmetique,,"Vuolfangus Lazius Petrus Appianus, mathematicus Ingolstadiensis, Comment. urb. rom. Hieronimo Ruscelli Hermolaus Barbarus Angelius Bargæus, De aucupio et venatione Nicolaus Damascenus Caresariensis, De rebus Persarum Isidorus Osorius Eupolemus, historicus gentilis qui de rebus Davidis & Salomonis scripsit monsieur Cathalogue des villes Calendrier des bergiers Grammaire italiene Arithmetique of Savonne Instruction pour le faict des fin"
p001r_3,lists,pn,Personal Name,Servius,alii,aliis,False,Julius Capitolinus,pn,"Alexander Aphrodisæus Polydorus Vergilius Appianus Athenæus Pausanias Statius Thebaidos Servius, in Aeneidem Macrobius Aulus Gellius Alexander ab Alexandria Festus Nonius Magius, Miscellanea Pollux, Onomasticon Higinus Berosus Suetonius Valerius Maximus Cornelius Tacitus Xenophon Seneca Dionisius Halicarnassensis Sabellicus cum permultis aliis Julius Capitolinus Budæus Spartianus Blondus Vola"
p001r_3,lists,pn,Personal Name,Servius,alii,aliis,False,Budæus Spartianus Blondus Volaterranus Herodotus Paulus Manutius Strabo Julius Firmicus Quintus Curtius Dion Cornelius Nepos Flavius Vopiscus,pn,"Alexander Aphrodisæus Polydorus Vergilius Appianus Athenæus Pausanias Statius Thebaidos Servius, in Aeneidem Macrobius Aulus Gellius Alexander ab Alexandria Festus Nonius Magius, Miscellanea Pollux, Onomasticon Higinus Berosus Suetonius Valerius Maximus Cornelius Tacitus Xenophon Seneca Dionisius Halicarnassensis Sabellicus cum permultis aliis Julius Capitolinus Budæus Spartianus Blondus Vola"
p001v_1,medicine,m,Material,Prunes of Saint Antonin,want,want,False,leaves,m,"Prunes of Saint Antonin, &, if you like, you want put among them leaves of mallow & gilliflower, adding in sugar &, if one wants, a little cinnamon for the stomach."
p002v_2,stones,tl,Tool,"crucible covered with another, well luted, that has a hole in the top",have,has,False,a hole,tl,"I have taken minium 26 ℥, crystal and ground on marble 12 ℥, verdet 3 |ʒ|. Incorporate all together, put in a crucible covered with another, well luted, that has a hole in the top. Fusion 7 hours without blowing. The mass was of a beautiful green."
p003r_1,stones,m,Material,vinegar,give,gives,False,strength,,"until it appears not to be thick, but clear & liquid like water, & easily runs & flows from the tip of a stick with which you grind it, & test it. Then pour it through a coarse canvas or a very light tammy cloth, such that when pouring it falls into the strongest vinegar that you can find, for the vinegar gives it strength & prevents it from being so fragile. Reiterate this two or three times & it will be beautiful & well purified. For counterfeiting your coral, you can mix a quarter part of mastic into your purified rosin to render it more firm and more beautiful, & if you were to take a single tea"
p003r_1,stones,m,Material,Sulfur,make,makes,False,the same effect,,Sulfur & vermilion makes the same effect.
p003r_1,stones,m,Material,coral,endure,endures,False,the file,tl,The coral made of gules red enamel endures the file and polishing.
p003r_2,,m,Material,Mastic varnish,resist,resist,False,rain,env,"But it is used to heighten colors which have soaked in and to keep them from dust. Mastic varnish does not resist rain, whereas that of oil and rosin does."
p003v_1,varnish,m,Material,Turpentine varnish,need,need,False,any glue,m,"Turpentine varnish does not need any glue because it is fatty & viscous & it is not absorbed in the wood like that of spike lavender & sandarac. Also, that of spike lavender does not require any glue on iron & similar things that do not absorb. But on wood & on colors which do not have gum or distemper glue, it is ne"
p004r_1,varnish,m,Material,spike lavender oil,eat,eats,False,the colors,,"Varnish of spike lavender oil is not as appropriate for colors as that of turpentine, for spike lavender oil eats the colors since it is too penetrating."
p005r_2,practical optics,tl,Tool,concave mirror,produce,produces,False,an endless number,,"The concave mirror composed in the aforesaid form produces an endless number of pretty conceits which seem magic. If someone wants to see oneself from behind, it is necessary to place the concave mirror on the ground on its foot, & let it be at a slant; next, look at it from one pace away. But if you look at it close"
p005r_2,practical optics,pro,Profession,women,see,see,False,the secret places,bp,"string & will represent a nipple as large as a plate, and women can see the secret places that they do not want to show to surgeons. It casts the representation out of itself, and if you touch the eye of the representation with your finger, another finger will come against yours."
p006r_1,painting,m,Material,lamb tallow,tallow,tallow,False,the size,,"well ground, & tempered with distemper glue, & make four layers of it, one after the other, on the wood. And once the last is dry, rub it with prele, which is a plant otherwise called horsetail, to render it well polished. Next take fine boli armeni & sanguine, as much of one as of the other, also lamb tallow the size of a bean or a pea depending on the quantity of bole, and a little willow charcoal, or as much as the tallow, & half a walnut shell full of half-burned saffron. Some put in a little candy sugar. Grind all together with water, & apply it without gum or glue, & let it dry, & rub the p"
p007r_1,painting,m,Material,Minium,give,gives,False,color,,"only fatty oil, which is made in seven or eight days in the sun with walnut oil and lead white , stirring it often, or cooking it on the fire if one is in haste. Then, with the oil thus made fatty, grind a little lead white, massicot & mine de plomb , at discretion, as much of one as of the other. Minium gives color to the gold. Next, with this, you make a layer of it evenly on your stamping, taking care not to fill the hollows. And once it is almost dry, lay the gold leaf on it with cotton. Such gold will hold up in the rain on houses & elsewhere. And if you have gilded with tinsel, color it with"
p007r_3,stones,m,Material,dragon's blood,carry,carries,False,its mastic,m,"Good dragon's blood soaked in eau-de-vie carries its mastic or glue in itself, as do sap green & saffron."
p007r_4,tool,pro,Profession,Joiners,glue,glue,False,their masterpieces,,"It is made from codfish skin, boiled rather than being salted. Joiners glue their masterpieces with it and guitar maker use it for delicate works. It wants to be strongly beaten, then soaked gently in barely boiling water."
p008v_5,casting,m,Material,☾,have,have,False,a tint,,"ou can & hollow it in the middle. Put in an eighth part of ☿, & into this, while adding water, rub & wear down your ☾ or ☼ until the substance becomes like paste & even harder. Next, if you want, eat it away with good aquafortis, if it is ☾ or ♀. Then remelt it, having taken it out as you know. The ☾ will have a tint and, once melted, will leave some grains of ☼, & the ♀ will be very beautiful & will have almost no crust."
p009v_3,merchants,pn,Personal Name,du Cros,make,made,False,a bill,,"François du Cros owes from 2nd September 1581 / for the merchandise taken by himself, as specified in detail in the sales book no. 7 / at c. 55 / the sum of 8 livres / of which the said du Cros has made a bill on the said day, to be paid on St. Andrew's day next, I make this 8 lb t."
p010r_1,stones;decorative,m,Material,horn,present,presents,False,a luster & fatty polish,,"Take horn from which one makes lanterns, quite thin, & underneath make the figure of your jasper, cornalines, & other stones, which will be a work more appropriate than on glass, which is too shiny. And the horn presents a luster & fatty polish like jasper."
p010v_1,painting,m,Material,Alum water,keep,keeps,False,oil,m,"y brought to boil so that it is hardly strong. Next stir in a little honey to soften it, & make it boil all together. And on top of this layer, which will soon be dry, you will be able to paint in oil, which will soften the layer even more, and which can also serve you to make a seat for gold. Alum water also keeps oil from running."
p011r_1,painting,tl,Tool,sponge,remove,remove,False,the colored water,m,"nly good for landscapes because they die in oil. Only true azure holds on. Azur d'esmail cannot be worked if it is too coarse. Try it, therefore, on the fingernail or the oil palette. If it happens to be sandy, do not grind it except with the egg yolk or, better yet, wash it in clear water & with a sponge remove the colored water after it starts to go to the bottom, and in this manner you will extract the very delicate flower, which will be easy to work with."
p012r_1,casting,m,Material,soot black,give,gives,False,a fine sheen,,"One ought not to cast unless it is well cooled & unless it has lost all its pustules & bubbles, and has settled down well & become smooth like water. The soot black gives it a fine sheen & makes it neater. The most beautiful yellow sulfur must be used, for the greyish & lively one is not good. Do not cast in wind & in cold, for it would become porous."
p013r_1,painting,m,Material,Sublimated arsenic,make,makes,False,a beautiful flesh color,,"Sublimated arsenic, that is to say, the white one that is sold as stone, when ground on marble, mixed with vermilion or lake or minium, makes a beautiful flesh color that is always shiny. Yellow arsenic has a very beautiful color, the white one is good in oil and agrees well with the lake."
p013r_1,painting,m,Material,Yellow arsenic,have,has,False,a very beautiful color,,"Sublimated arsenic, that is to say, the white one that is sold as stone, when ground on marble, mixed with vermilion or lake or minium, makes a beautiful flesh color that is always shiny. Yellow arsenic has a very beautiful color, the white one is good in oil and agrees well with the lake."
p013v_5,tool;household and daily life,pro,Profession,Candlemakers,make,make,False,a good candle,tl,"Candlemakers never make a good candle when the Autan wind blows because the candle always tends to melt, however good the tallow they use for it."
p014r_1,household and daily life,al,Animal,Swallows,teach,taught,False,this craft,,"Swallows have taught us this craft, making their nests out of mud mixed with wisps & stalks of hay or straw to make it bond. Therefore, in places where stone & brick are lacking, one can use earth to make partitions & walls. And for this, light earth, which does not form clumps when plowed, but which is as"
p014r_1,household and daily life,m,Material,light earth,hold,holds,False,first rank,,"Swallows have taught us this craft, making their nests out of mud mixed with wisps & stalks of hay or straw to make it bond. Therefore, in places where stone & brick are lacking, one can use earth to make partitions & walls. And for this, light earth, which does not form clumps when plowed, but which is as if intermixed with arene, holds first rank, because it can be beaten & tamped down better. It is true that one needs to moisten it & cut it into the shape of sods with a ditch-spade, and thus place & arrange it. This one lasts longer and ther"
p015r_3,casting,m,Material,earth,drink,drink,False,the metal,m,"It is necessary that the sand be from something very dry & arid & reheated well in the frame, because, if it were humid, like founders' sand, the gold and silver would spatter, & cause damage. It is also necessary for the earth to drink the metal, for cast gold or silver becomes very spongy. That is why it must be beaten again, otherwise it is frangible, as one sees in spoon handles."
p016r_1,metal process,tl,Tool,blast-pipe,mark,marked,False,A,,"found a manner of melting not only brittle iron, such as the kind used for iron pots, but also soft iron such as that of pigs & ingots, which is the most difficult kind. And to this effect they make a furnace in this manner which has a width of one pan & a half & a depth of two pans. And the blast-pipe, which is the barrel marked A through which the bellows' pipes enter, has to be placed in the middle of the height of the furnace such that there is one pan of the mouth of the furnace above the blast-pipe & one pan underneath."
p016r_1,metal process,ms,Measurement,pan,contain,contains,False,one,ms,"Each pan of the mouth of the square furnace contains one & a half quintal, & the pan of the round furnace holds two quintals."
p016r_1,metal process,ms,Measurement,pan,hold,holds,False,two quintals,ms,"Each pan of the mouth of the square furnace contains one & a half quintal, & the pan of the round furnace holds two quintals."
p017r_1,arms and armor,wp,Weapon,great cannon,carry,carries,False,a range,,"The great cannon, because of the weight of its ball, carries a range of only a thousand or xii hundred paces without landing, & bouncing, it commonly bounces iii times."
p017r_1,arms and armor,wp,Weapon,cannon-perrier,have,have,False,a large effect,,The cannon-perrier does not have a large effect if not close.
p017r_1,arms and armor,m,Material,metal,cost,costs,False,xv lb & fine rosette xv,,"The good alloy for pieces is of three parts of rosette & one of the fine metal of large bells, where there is more rosette than in the metal of small bells. The metal commonly costs xv lb & fine rosette xv or xvi."
p017r_1,arms and armor,wp,Weapon,cannon,weigh,weighs,False,fifty-five or lx quintals,ms,"The large cannon, which is for great batteries, commonly weighs fifty-five or lx quintals. At the breech it carries the thickness of two balls & one of the three parts of one ball. At the front, it carries the thickness of one ball & two of the three parts. It is thirteen or fourteen pans long. But they are very tr"
