subject_tag,subject_label,subject_term,verb_lemma,total_count,objects
al,Animal,crayfish,have,2,eggs; no eggs
al,Animal,hen,search,1,the garbage
al,Animal,lizard,have,1,large jaws
al,Animal,nightingale,maintain,1,a territory
al,Animal,sheep,have,1,very yellow fat
al,Animal,snakes,have,1,a double row
al,Animal,Swallows,teach,1,this craft
al,Animal,those of the garrigue,have,1,crooked ones
al,Animal,Those of the water,have,1,ones
al,Animal,turtles,have,1,as much work
df,Definition,blades,have,1,a sharp ridge
df,Definition,panier,contain,1,24 plates
env,Environment,place where the flame cannot cause damage,cause,1,damage
env,Environment,rains,fill,1,the holes
env,Environment,workshop,represent,1,all things
m,Material,alloyed silver,produce,1,film
m,Material,Aloe,make,1,brighter color
m,Material,Alum water,keep,1,oil
m,Material,Amber,lose,1,its color
m,Material,amber,overtake,1,the principal scent
m,Material,another fragrant one that resembles olive oil,resemble,1,olive oil
m,Material,Ash,have,1,enough body
m,Material,ash,heat,1,the guards
m,Material,Azur d'esmail,hat,1,more
m,Material,azure,require,1,a little fatty oil
m,Material,ben oil,put,1,your ambergris
m,Material,Black lead of saulmon,make,1,one
m,Material,Bone,have,1,scarcely any body
m,Material,borax,weigh,1,half
m,Material,Brick,cool,1,the metal
m,Material,bristles of beech martens & weasels & small animals that make musk,make,1,musk
m,Material,Burnt linen,give,1,less trouble
m,Material,Chalk,have,1,no body
m,Material,charcoal,give,1,color
m,Material,clay,bring,1,the wax
m,Material,clay earth with which one makes tiles,make,1,tiles
m,Material,coarse sand,communicate,1,its humidity
m,Material,cold water,repel,1,the oil
m,Material,common charcoal,make,1,black
m,Material,Copper,have,1,a similar hardness
m,Material,coral,endure,1,the file
m,Material,cornflower,make,1,a very beautiful blue
m,Material,cristallin,contain,1,both salt
m,Material,dragon's blood,carry,1,its mastic
m,Material,Dust,keep,1,wheat
m,Material,earth,drink,1,the metal
m,Material,Eau-de-vie,do,4,much (4)
m,Material,eau-de-vie,mix,1,little
m,Material,Eau-de-vie,prevent,3,the sand (3)
m,Material,elm,have,1,beautiful streaks
m,Material,fatty metal,need,1,lean sand
m,Material,feather alum,resist,1,the fire
m,Material,Fine tin,make,1,a substance
m,Material,German tokens,contain,1,a lot
m,Material,Glair of eggs,give,1,strength
m,Material,glowing charcoal,stop,1,the space
m,Material,gold,have,2,beautiful enough color; the thickness
m,Material,gold,reach,1,its perfect heat
m,Material,Gold,render,1,the enamel
m,Material,Good plaster,keep,1,a long time
m,Material,grey earth,dry,1,the mold
m,Material,horn,present,1,a luster & fatty polish
m,Material,Iron wire,have,1,a lower price
m,Material,lake,lose,1,their color
m,Material,lake,require,1,two layers
m,Material,lamb tallow,tallow,1,the size
m,Material,Latten,lose,1,its calamine
m,Material,Latten,welcome,1,softer files
m,Material,latten from skillets in which one makes the mush for little children,make,1,the mush
m,Material,lead,take,1,hold
m,Material,lean earth of which the founders of artillery & bells make their trusseaulx and molds,make,1,their trusseaulx
m,Material,light earth,hold,1,first rank
m,Material,Mastic varnish,resist,1,rain
m,Material,metal,cost,1,xv lb & fine rosette xv
m,Material,metal,enter,1,the mold
m,Material,metal,run,1,roll wax
m,Material,metal,touch,1,the frame's iron
m,Material,Minium,give,1,color
m,Material,oil,have,1,a little body
m,Material,oil,leave,1,the paper
m,Material,oil,make,1,no thickness
m,Material,oil,receive,1,color
m,Material,oil,take,1,a long time
m,Material,"plant which grows in hedges, which has a stem similar to flax, a long & broad leaf like small bugloss, which has a violet flower verging on blue & is shaped like the lily flower",have,2,a stem; a violet flower
m,Material,"plant which grows in hedges, which has a stem similar to flax, a long & broad leaf like small bugloss, which has a violet flower verging on blue & is shaped like the lily flower",make,1,a very beautiful turquin
m,Material,Plaster,withstand,1,fire
m,Material,powder,have,1,its effect
m,Material,powder,make,1,more
m,Material,Prunes of Saint Antonin,want,1,leaves
m,Material,red poppy,make,1,a very beautiful columbine
m,Material,rubified antimony,make,1,jacinth
m,Material,ruby,want,2,fire; more time
m,Material,sand,make,1,dust
m,Material,sand,surpass,1,the edges
m,Material,sand,withstand,2,the fire (2)
m,Material,"Sand from oxen feet, burned twice & finely ground",burn,1,ground
m,Material,sand that releases well,have,1,body
m,Material,sands,withstand,1,one casting
m,Material,shells,make,1,an impalpable white sand
m,Material,Silver,need,1,a longish gate
m,Material,Silver,tolerate,1,the water
m,Material,skin,cost,1,fifty or lx sous
m,Material,slate,retain,1,its asperity
m,Material,Slightly coarser sand,have,1,more body
m,Material,smokes,put,1,some more borax
m,Material,soap water,turn,1,the piece
m,Material,Soft wood charcoal,make,1,a bluish color
m,Material,soot black,give,1,a fine sheen
m,Material,spike lavender oil,eat,1,the colors
m,Material,stucco,have,1,the quality
m,Material,Sublimated arsenic,make,1,a beautiful flesh color
m,Material,Sulfur,make,1,the same effect
m,Material,"Tanner's earth, or the one with which potters make a whitening on pots",make,1,a whitening
m,Material,tempered sand,change,1,their form
m,Material,The one from Champaigne,fetch,1,the price
m,Material,Thoroughly burnt sand,lose,1,its bond
m,Material,tin,cast,1,thick retracts
m,Material,tin,exceed,2,more than one part; the lead
m,Material,tin leaf,give,1,light
m,Material,Turpentine varnish,need,1,any glue
m,Material,Urine,give,3,-; much tincture; vie
m,Material,varnish,have,1,body
m,Material,verdigris,have,1,depth
m,Material,vermeilles,fear,1,fire
m,Material,vinegar,give,2,any bond; strength
m,Material,vinegar,have,1,much more strength
m,Material,water,have,1,as much dregs
m,Material,water,rest,1,little
m,Material,water,take,1,a slight tint
m,Material,wax,have,2,more; such little substance
m,Material,Wax,keep,1,its heat
m,Material,wax,pass,1,its high heat
m,Material,wax,touch,1,this wax
m,Material,white wine,remove,1,its tint
m,Material,wine,lose,1,its sweetness
m,Material,wood,imbibe,1,very hot wax
m,Material,Yellow arsenic,have,1,a very beautiful color
m,Material,☾,have,1,a tint
m,Material,☿,clean,1,the ash
ms,Measurement,At the breech it has three balls & two in front,have,1,three balls
ms,Measurement,At the breech it has three balls & two in the front,have,1,three balls
ms,Measurement,aulne,cost,1,lb
ms,Measurement,bundle,cost,1,x
ms,Measurement,cool until you can hold the tip of your finger in the gate without burning yourself,hold,1,the tip
ms,Measurement,dozen,cost,1,x lb
ms,Measurement,"hot enough, like when one takes out the bread",take,1,the bread
ms,Measurement,pan,contain,1,one
ms,Measurement,pan,hold,1,two quintals
ms,Measurement,part,reheat,1,feather alum
ms,Measurement,quarters,make,1,a very liquid line
