head-word,alternate-spellings,meaning-number,meaning,language-dialect-of-origin,modern-spelling,part-of-speech,references,reference-link,annotation-id,synonym-in-glossary,antonym-in-glossary,see-also-in-glossary,questions-observations-examples-references,folio,entry-id,entry-heading,editorial-comment,editors-notes,uncertain
Abreuver,,1,"to water an animal, imbibe, drink up, fill with liquid, saturate",,,v.,DMF2015 ,,,,,,,,,,,,
Abreuver,,2,to shrink (fullers shrinking their cloth in water),,,v.,COT1611 ,,,,,,,,,,,,
Abreuver,,3,to feed (enable metal to enter the mold in metal casting),,,v.,,,,,,,,,,,,,
Abreuvoir,abreveoir,1,trough (for watering or feeding animals),,,n.(m),DMF2015 ,,,,,,,,,,,,
Abreuvoir,,2,feeder (metal casting),,,n.(m),,,,,,,,,,,,,
Acacher,accacher,1,"press tightly, hold tightly, compress",Poitevin,,v.,beauchet-filleau1864,Le Vocabulaire poitevin (1808–1825) de Lubin Mauduyt,,,,,,024r,,,,,
Acoustrer,,,to prepare,,accoutrer,v.,COT1611,,,,,,,"fol. 12r, fol. 138r.",,,,,
Adjouster,,,to add,,ajouter,v.,,,,,,,,,,,,,
Adjouster,,,to adjust,,ajuster,v.,,,,,,,,,,,,,
Adouber,,,to dress,,,v.,COT1611,,,,,,,157v,,,,,
Adoulcir,,1,to soften,,adoucir,v.,,,ann_042_sp_16,,,,,,,,,,
Adoulcir,,2,to sweeten (metals),,adoucir,v.,,,ann_042_sp_16,,,,,,,,,,
Advancer,Avancer,,to hasten,,avancer,v.,COT1611,,,,,,,,,,,,
Adviser,,,"to heed, to take heed",,aviser,v.,,,,,,,,,,,,,
Adviver,,,to brighten,,aviver,v.,,,,,,,,156r,,,,,
Aes ustum,,,"burnt copper (cuprous oxide, a red pigment) ",Latin,,n.(m),taylor1953,,,,,,,,,,,,
Affust,,,carriage (of a piece of artillery),,affût,n.(m),COT1611,,,,,,,025r,,,,,
Affuster,,,"to fit with a stock, to mount (artillery)",,affûter,v.,COT1611,,,,,,,,,,,,
Aguiser,aiguiser | esguiser,,to sharpen,,aiguiser,v.,,,,,,,,,,,,,
Aigre,,1,sour,,,adj.,COT1611 | DAF2018,,,,,,,67v,,,,,
Aigre,,2,brittle (metals),,,adj.,COT1611 | DAF2018,,,,,,,67v,,,,,
Aigue marine,eau marine,,"aquamarine (a variety of beryl, and its colour)",,aigue-marine,n.(f),tolhausen1905,,,,,,,,,,,,
Aiguille,esguille,,needle,,aiguille,n.(f),,,,,,,,,,,,,
Aiguillée,,,a needle's worth (of thread or similar),,,n.(f),DMF2015,,,,,,,,16v_2,,,,
Aisselle,,1,armpit,,,n.(f),,,,,,,,,,,,,
Aisselle,,2,lower part of the vault of a furnace,,,n.(f),,,,,,,,,,,,,
Alantir,,,to temper (gunpowder),,alentir,v.,COT1611 | OED2008,,,,,,,,,,,,
Alberge,,,Old peach variety from southern France and the Iberian Peninsula that looks like an apricot. ,,,n.(f),TLFi2019,,,,,,,,,,,,
Alembic,,,alembic (piece of distillation apparatus),,alambic,n.(m),,,,,,,,,,,,,
Alene,,,awl (strong needle mainly used for leatherwork),,alène,n.(f),,,,,,,,,,,,,
Alliage,,,metal alloy,,,n.(m),,,,,,aloé,,,,,,,
Allier,alier,1,"to mix, to bind (materials other than metals)",,allier,v.,,,,,,,,93v,49r_3,,,,
Allier,alier,2,to alloy (metals),,allier,v.,,,,,,,,,,,,,
"Allier, s'",alier,,to form an alloy,,allier,v.,,,,,,,,,,,,,
Aloé,,1,"metal alloy, especially of gold or silver coin; also fine metal for bells",,,n.(m),COT1611 ,,,,,,,149v,,,,,
Aloé,,2,aloe (a group of plants secreting bitter juice used in medicine; may also refer to the juice itself),,,,COT1611 | OED2008,,,,,,,,,,,,
Alum,allum | alung | alun,,alum,,alun,n.(m),,,,,,,,,,,,,
alum de glace,alung de glace | alun de glace,,glass alum; probably synonymous with rock alum,,alun,n.(m),COT1611 | DMF2015,,,,,,,only occurs between fol. 75v and 79r,,,,,
Alum de plume,Alum de plume | alung de plume | alum de plume,,"feather alum (a mineral; possibly spalt, spar, or asbestos). Cotgrave has <i>Alun de plume</i> as ""stone allum"" or ""itching powder,"" which can be steeped, pounded, and spun into thread to make long-burning candle wicks and matches.",,,n.(m),,,"Amsterdam annotation, “What is Spat?”",,,,,"102r, 106v, 107r-v, 108v, 112r, 115r, 117v, 118v, 120r-v, 121v, 128r, 132v, 148v, 157v",,,,,
Alum de roche,alung de roc,,rock alum,,,n.(m),diderot2017,,,,,,,,,,,,
Alumen jamenum,alume jameni,,"a mineral, possibly the same as feather alum",Latin,,n.(m),coxe1808,https://books.google.com/books?id=LS1AAQAAMAAJ&pg=PP45&dq=alumen+jamenum&hl=en&sa=X&ved=0ahUKEwjDnYSXpK3iAhWmnOAKHW7mA4YQ6AEIMDAB#v=onepage&q=alumen%20jamenum&f=false,,,,,,,,,,,
Alun de glace,alum de glace | alung de glace | alum de glace,,alum glass,,,n.(m),OED2008,,,,,,,,,,,,
Amatonné,,,"coagulated, in one piece",,matonné,v.,DMF2015,,,,,,,,,,,,
Ambre blanc,,,white amber,,,n.(m),DMF2015 | COT1611,,,,,,,,,,,,
Ambre gris,,,ambergris,,,n.(m),,,,,,,,,,,,,
Ambre jaulne,,,a perfuming material from the stperm whale,,ambre jaune,n.(m),DMF2015 | COT1611,,,,,,,,,,,,
Ambu,,,funnel,Occitan,embut,n.(m),DMF2015 | COT1611,,,,,,,,,,,,
