separate by |",separate by |,Could be done programmatically,,,,,Working notes,
original-fr 640-spelling,alternate-spellings,meaning-number,meaning,language-dialect-of-origin,"Modern form or spelling, even if meaning has changed","Part of speech (n., v., adj., adv.)",Reference or further notes,Reference link,Annotation id,"Questions, observations, examples, references",Folio,Entry ID,Entry heading,Synonym in this glossary,Antonym in this glossary,"""See also"" - other entry",Convert to editorial comment (or pull out partial comment) - Y / N,Editors notes,Uncertain
A,,,,,,,,,,,,,,,,,,,
Abreuver,,1,"to water an animal, imbibe, drink up, fill with liquid, saturate",,,v.,DMF,,,,,,,,,,,,
Abreuver,,2,to shrink (fullers shrinking their cloth in water),,,v.,Cot,,,,,,,,,,,,
Abreuver,,3,to feed (enable metal to enter the mold in metal casting),,,v.,,,,,,,,,,,,,
Abreuvoir,abreveoir,1,trough (for watering or feeding animals),,,n.(m),DMF,,,,,,,,,,,,
,,2,feeder (metal casting),,,n.(m),,,,,,,,,,,,,
Acacher,accacher,1,"press/hold tightly, compress",Poitevin,,v.,BF | VP,Le Vocabulaire poitevin (1808–1825) de Lubin Mauduyt,,,024r,,,,,,,,
Acoustrer,,,to prepare,,,v.,Cot,,,,"fol. 12r, fol. 138r.",,,,,,,,
Adviser,,,to (take) heed,,aviser,v.,,,,,,,,,,,,,
Adviver,,,to brighten,,aviver,v.,,,,,156r,,,,,,,,
Adoulcir,,1,to soften,,adoucir,v.,,,ann_042_sp_16,,,,,,,,,,
Adoulcir,,2,to sweeten (metals),,adoucir,v.,,,ann_042_sp_16,,,,,,,,,,
Adjouster,,,to add,,ajouter,v.,,,,,,,,,,,,,
Adjouster,,,to adjust,,ajuster,v.,,,,,,,,,,,,,
Adouber,,,to dress,,,v.,Cot,,,,157v,,,,,,,,
Advancer,Avancer,,to hasten,,,v.,Cot,,,,,,,,,,,,
Aes ustum,,,"burnt copper, i.e. cuprous oxide, a red pigment ",Latin,,n.(m),"F. Sherwood Taylor, “Some Metallurgical Processes of the Early Sixteenth Century (1530),” The Newcomen Society, 1954.",,,,,,,,,,,,
Affust,,,carriage (of a piece of artillery),,affût,n.(m),Cot,,,,025r,,,,,,,,
Affuster,,,"to fit with a stock, to mount (artillery)",,,v.,Cot,,,,,,,,,,,,
Agnus Dei,,,"discs of wax impressed with the figure of a lamb and blessed at stated seasons by the Pope, used as devotional objects",,,n.(m),Catholic Encyclopedia,,,,15r,,,,,,,,
Aguiser,aiguiser | esguiser,,to sharpen,,aiguiser,v.,,,,,,,,,,,,,
Aigre,,1,sour,,,adj.,Cot | DAF,,,,67v,,,,,,,,
Aigre,,2,brittle (metals),,,adj.,Cot | DAF,,,,67v,,,,,,,,
Aigue marine,eau marine,,"aquamarine, i.e. a variety of beryl, and its colour",,aigue-marine,n.(f),Dictionnaire technologique,,,,,,,,,,,,
Aiguille,esguille,,needle,,aiguille,n.(f),,,,,,,,,,,,,
Aiguillée,,,a needle's worth (of thread or similar),,,n.(f),DMF,,,,,16v_2,,,,,,,
Aisselle,,1,armpit,,,n.(f),,,,,,,,,,,,,
Aisselle,,2,lower part of the vault of a furnace,,,n.(f),,,,,,,,,,,,,
Alantir,,,to temper (gunpowder),,alentir,v.,Cot | OED,,,,,,,,,,,,
Alembic,,,alembic (piece of distillation apparatus),,alambic,n.(m),,,,,,,,,,,,,
Alene,,,awl (strong needle mainly used for leatherwork),,alène,n.(f),,,,,,,,,,,,,
Allier,alier,1,"to mix, to bind (materials other than metals)",,allier,v.,,,,,93v,49r_3,,,,,,,
Allier,alier,2,to alloy (metals),,allier,v.,,,,,,,,,,,,,
Allier (s'),alier,,to form an alloy,,allier,v.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Aloé,aloy | alloy,,"metal alloy, especially of gold or silver coin; also fine metal for bells",,,n.(m),Cot,,,,149v,,,,,,,,
Alum,allum | alung | alun,,alum,,alun,n.(m),,,,,,,,,,,,,
Alum de plume,Alum de plume | alung de plume | alum de plume,,"feather alum (a mineral; possibly spalt, spar, or asbestos)",,,n.(m),,,"Amsterdam annotation, “What is Spat?”",,"102r, 106v, 107r-v, 108v, 112r, 115r, 117v, 118v, 120r-v, 121v, 128r, 132v, 148v, 157v",,,,,,,,
Alumen Jamenum,,,"a mineral, possibly the same as feather alum",Latin,,n.(m),"Cox, The Philadelphia Medical Dictionary",https://books.google.com/books?id=LS1AAQAAMAAJ&pg=PP45&dq=alumen+jamenum&hl=en&sa=X&ved=0ahUKEwjDnYSXpK3iAhWmnOAKHW7mA4YQ6AEIMDAB#v=onepage&q=alumen%20jamenum&f=false,,,,,,,,,,,
Alun de glace,alum de glace | alung de glace | alum de glace,,alum glass,,,n.(m),OED,,,,,,,,,,,,
Alum de roche,alung de roc,,rock alum,,,n.(m),Enc,,,,,,,,,,,,
Amatonné,,,"coagulated, in one piece",,matonné,v.,DMF,,,,,,,,,,,,
Ambre blanc,,,white amber,,,n.(m),DMF | Cot,,,,,,,,,,,,
Ambre gris,,,ambergris,,,n.(m),,,,,,,,,,,,,
Ambre jaulne,,,a perfuming material from the stperm whale,,jaune,n.(m),DMF | Cot,,,,,,,,,,,,
Ambu,,,funnel,Occitan,embut,n.(m),DMF | Cot,,,,,,,,,,,,
Ame,,,core (in casting artillery),,,n. (f),,http://www.civilwarartillery.com/glossary/glossaryf.htm,,,,,,,,,,,
Amorce,,1,touch hole,,,n. (f),Cot,,,,23r,,,,,,,,
Amorce,,2,"primer powder, powder for the touch hole",,,n. (f),Cot,,,,23r,,,,,,,,
Amortir,amorty,1,to die down,,,v.,,,,,"52v, 115r, 119r and 132r",,,,,,,,
Amortir,amorty,2,to mortify (metals),,,v.,,,,,72v,,,,,,,,
Ampeau,,,bark,,,n.(m),"Monet, Invantaire des deux langues",https://books.google.fr/books?id=hgCMWoTZDEsC&pg=PA82&dq=ampeau+arbre&hl=fr&sa=X&ved=0ahUKEwiBwa21mYDcAhWFvRQKHVemAwQQ6AEIKDAA#v=onepage&q=ampeau%20arbre&f=false,,,38v,,,,,,,,
Ampoulle,,,ampul,,ampoule,n.(f),OED,,,,,,,,,,,,
Amydon,,,wheat starch,,amidon,n.(m),,,,,,,,,,,,,
Ana,,,"used in pharmaceutical recipes to mean ""the same amount""",Greek,,prep.,DAF,,,,,,,,,,,,
Ancrou,escroue,,nut (as in nut and bolt),,écrou,n.(m),,,,,,,,,,,,,
Angroise,,,wall lizard,Poitevin/Saintongeais,,n.(f),Littré | Favre | BF,,,,,,,,,,,,
Antimoine,,,antimony,,,n.(m),,,,,,,,,,,,,
Appiller,appiler,,"to tamp, to compact",Potevin,appiler,v.,VP | DPS,,,,,,,,,,,,
Aprest (paindre d'),,,to paint on glass,,,advp.,"Abel Boyer, Dictionnaire royal, françois-anglois et anglois-françois, vol. 1, Amsterdam etc, 1727",,,,,,,,,,,,
Archal (fil d’),,,latten or copper wire,,,n.(m),Cot | Littré,,,,,,,,,,,,
Ardille,ardile,,clay ,,,,"The author-practitioner provides a definition on fol. 112v: terre grasse appellee ardille (""fatty earth called ardille"") | Cot",,,,,,,,,,,,
Arene,,,"Natural sand, arid or lean, in which the grains do not adhere together",,,n.(f),,,,,,,,,,,,,
Areneux,areneulx,,sandy,,,adj.,DMF,,,,,,,,,,,,
Argel,,,Algiers,Spanish/Portuguese,,n. (m),,,,,,,,,,,,,
Argenter,,,to gild with silver,,,v.,Cot,,,,97r,,,,,,,,
Argent de billon,,,"billon silver (Billon refers to a mixed metal used in coinage, consisting of gold or silver with a preponderating admixture of a baser metal.)",,,n.(m),OED,,,,,,,,,billon,,,
Argent vif,vif argent,,"quicksilver, i.e. mercury",,,n.(m),,,,,,,,,,,,,
Argent vif arresté,,,fixed quicksilver,,,n.(m),,,,,"92r, 70v",,,,,,,,
Argent moulu,,,the compound of ground silver with which gilding or “silvering” is done.,,,,,,,,,,,,,Or moulu,,,
Aride,,,"lean, arid",,,adj.,,,,,,,,,gras,,,,
Armol,,,orach (Atriplex hortensis),Occitan,,,"Sauvatges, 1, p. 28; D’Hombres-Charvet, 1, p. 69.",,,,,,,,,,,,
Arraper,araper,,to adhere,,,v.,DMF,,,,,,,,,,,,
Arrouser,,,to shower,,arroser,v.,,,,,,,,,,,,,
Artiste,,,"In this period, “artiste” could mean skilled artisan, a Master of Arts (the university title), and was just beginning to be used in the sense of “creative artist,” as it is today. We chose to translate as “artist,” but this older connotation of artisanal skill should be kept in mind.",,,n.(m),,,,,,,,,,,,,
Aspalte,,,asphaltum,,,n.(m),PG,,,,,,,,,,,,
Aspic,,,spike lavender (Lavandula latifolia),,,n.(m),"DAF, OED",,,,,,,,,Huile d'aspic,,,
Assiette,,1,plate,,,n.(f),,,,,,,,,,,,,
Assiette,,2,ground (of a painting or for gilding),,,n.(f),,,,,,,,,,,,,
Atelaige,,,harness,,attelage,n.(m),,,,,25r,,,,,,,,
Attaquer (s'),,1,"to attach, to stick",,s'attacher,v.,DMF,,,,,,,,,,,,
Attaquer (s'),,2,to attack,,,v.,,,,,"109v, 110r",,,,,,,,
Aulcun(s),,,some (people),,,pron.,,,,,,,,,,,,,
Aulcunement,,,somewhat,,,adv.,,,,,,,,,,,,,
Aulne,,,"unit of measurement, equivalent to an ell, i.e. 2–4 feet.",,,n(f.),,,,,,,,,,,,,
Autan,haultan,,Autan wind (a SW/SSW wind),Occitan,,n.(m),,,,,,,,,,,,,
Avelane,,,hazelnut,Occitan,,n.(f),,,,,,,,,,,,,
Axunge,,,tallow,,axonge,n.(f),Cot,,,,,,,,,,,,
Axunge de verre,,,sandever ,,,n.(f),Enc,,,,,,,suin de verre,,,,,
Azur,,,"azure (the color, or various pigments of that color)",,,n.(m),,,ann_060_fa_17,,,,,,,,,,
Azur d’acre,,,blue pigment from Acre,,,n.(m),,,ann_060_fa_17,,,,,,,,,,
Azur d’esmail,,,"blue pigment, perhaps smalt",,,n.(m),,,ann_060_fa_17,,,,,,,,,,
Azur de cendre,,,azurite ash,,,n.(m),PG,,ann_060_fa_17,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,
Babtiste,,,cambric,,batiste,n.(f),Cot,,,,,,,,,,,,
Bague,,,jewel (mostly but not necessarily a ring),,,,Cot | OED,,,,,,,,,,,,
Bahus,,,trunk,,bahut,n.(m),Cot,,,,,,,,,,,,
Balauste,,,pomegranate flower,,,n.(f),Cot,,,,,,,,,,,,
Balle de bled,,,chaff,,,n.(f),"Agostino Gallo, Secrets de la vraye agriculture, French trans. 1572.",,,,,,,,,,,,
Balotte,,,small stone,,,n.(f),Cot,,,,,,,,,,,,
Barbe,,,barb,,,n.(f),,,,,,,,,,,,,
Barre,,,bar,,,n.(f),Cot,,,,,,,,,,,,
Barricot,barriquet,,firkin (small barrel),,barillet,n.(m),Cot | OED,,,,,,,,,,,,
Basane,,,"basan (sheep-skin tanned in oak- or larch-bark; distinguished from roan, which is tanned in sumach)",,,n.(f),Cot | OED,,,,,,,,,,,,
Basilic,,,large cannon,,,n.(m),annotation to Rabelais,https://goo.gl/W0CXNA,,,,,,,,,,,
Bastarde,,,small piece of artillery,,,n.(f),Cot,,,,,,,,,,,,
Bastonceau,,,small stick,,,n.(m),,,,,,,,,,,,,
Batterie,,,battery (a formation of guns),,,n.(f),,,,,,,,,,,,,
Batterie (faire),,,"to batter, to mount the battery",,,v.,Cot,,,,24v,,,,,,,,
Batture,,,"In Ms. Fr. 640, this term refers to an impermeable layer laid down on cloth in order to paint the cloth without the paint soaking through",,,n.(f),,,,,"10v, 32r",,,,,,,,
Bave,,1,"foam, froth, slaver",,,n.(f),,,,,,,,,,,,,
Bave,,2,"flashing (in metal casting: a defect produced by the metal penetrating where it should not, especially at the joint of a two-part mold)",,,n.(f),,,,,,,,,,,,,
Benarri,benarrin,,ortolan or bunting (migratory bird),Occitan,,n.(m),"J. Doujat, Dict. langue toulousaine",https://gallica.bnf.fr/ark:/12148/bpt6k4170z/f37.image,,,,,,,,,,,
Benjoin,beljoin,,benzoin,,,n.(m),Cot | OED,,,,,,,,,,,,
Berche,,,,,,n. (f.),,,,,,,,passevolant,,,,,
Billon,,,"billon (mixed metal used in coinage, consisting of gold or silver with a preponderating admixture of a baser metal)",,,n.(m),Cot | OED,,,,,,,,,argent de billon,,,
Billot,,,billet (large thick piece of wood),,,n.(m),OED,,,,,,,,,,,,
Bimbalotier,,,"one who makes and sells bibelots, i.e. small curios or trinkets",,bibelotier,n.(m),Cot | OED,,,,,,,,,,,,
Biquoque,,,"a poorly fortified town, fort, or place",,bicoque,n.(f),Cot | TLF,,,,,,,,,,,,
Biron,viron,,gimlet (a small boring tool),Occitan,,,DMF,,,,,,,guimbelet,,,,,
Biseaulx,,,bevel edge,,biseaux,n.(m),,,,,,,,,,,,,
Biseaulx (tailler à),,,cut in bevel (gemstones),,biseaux,n.(m),,,,,,,,,,,,,
Bistre,,,"brown pigment derived from the tarry soot of burned, resinous wood and beechwood",,,n.(m),"Gettens and Stout, Painting Materials, p. 97",,,,,,,,,,,,
Blanc de plomb,,,lead white,,,n.(m),,,,,,,,,,ceruse,,,
Blanchisseur de chaux vive,,,white-limer,,,n.(m),Cot,,,,,,,,,,,,
Bled,,,"grain (cereal in general, not wheat as in modern French)",,blé,n.(m),DMF,,,,,,,,,,,,
Bled orberé,,,Meaning uncertain. Could refer to a variety of gran or or a way of processing it.,,,,,,,,,,,,,,,,x
Bluteau,belluteau,,bolting cloth,,,n.(m),Cot,,,,,,,,,,,,
Blutter,belluter,,to boult,,bluter,v.,Cot,,,,,,,,,,,,
Bobine,,,bobbin,,,n.(f),,,,,,,,,,,,,
Bois d’erable,,,maple wood,,,n.(m),,,,,,,,,,,,,
Bois madré,,,wood with streaked grain,,,n.(m),Cot | DMF,,,,,,,,,,,,
Boisseau,,,bushel (a cylindrical vessel used for grain),,,,,,,,,,,,,,,,
