folder,Folio,Entry ID,Comment ID,TC,TCN,TL,Comment,Comment-edit,Category,Commenter,Comment Date,M&K team member copying comments,Date checked,Notes,<comment>c_104v_01</comment>
p001r,p001r,p001r_1,c_001r_01,,,X,"Nicolas Cousté, the grandson of Jacques Cousté, a ""master painter and bourgeois of Paris,"" and son of Nicolas Cousté, also a painter. Jacques Cousté was the brother of Christine Rousseau, Jean Cousin (père's) wife. Nicolas Cousté fils was an armorer in the workshop of Jean Daussonne (also a family relation of Jean Cousin fils). Maurice Roy, Jehan Cousin père, sculpteur : la statue de l'amiral Chabot et le jubé de la chapelle de Pagny, 1909; Maurice Roy, Artistes et monuments de la Renaissance en France. Recherches nouvelles et documents inédits, 1929; Henri Zerner, L'Art de la Renaissance en France (Paris: Flammarion, 1996); Guy Michel-Leproux, La Peinture à Paris sous le règne de François Ier, ch. 4 ""Les debuts de Jean Cousin a Paris""; Jules Guiffrey, Artistes parisiens des XVIe et XVIIe siècles, 1915. — Research by Étienne Stockland, 2012.",,,MHS,7/8/2018,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_1,c_001r_02,,,X,Close to Rue des Écrivains mentioned below.,,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_1,c_001r_03,,,X,"Jean Cousin the younger, famous painter, c.1522-c.1594 (check dates)",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_2,c_001r_04,,,X,"This phrase and the following occur together later (p166r_b1a) as parts of the text ""pour la Boutique""",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_2,c_001r_05,,,X,Ceres / Isis,,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_2,c_001r_06,,,X,"Cf. Cornelius Agrippa, De Occulta Philosophia, Cologne 1533, lib. III, cap. 2, ""De silentio et occultatione eorum quae secreta in religione sunt"" (?): ""Numenius etiam quidam, occultorum curiosior, 
offensam numinum contraxit, quod Eleusinae deae sacra inter-
pretando evulgavisset""[http://bivio.filosofia.sns.it/bvWorkPage.php?pbSuffix=64%2C866217]",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_2,c_001r_07,,,X,trans.: It is nefarious to reveal the mysteries of the goddess of Eleusis.,,,MHS,7/4/2018,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_2,c_001r_08,,,X,"Claude Guichard (1545?-1607), Funérailles et diverses manieres d'ensevelir des Romains, Grecs, et autres nations, (Lyon) Jean de Tournes, 1581, p. 48-52: detailed discussion of trumpets in ancient funerals. 

Note that this passage of Guichard mentions many of the authors listed below: Statius (Theb.), Virg (Aen.), Pers., Appian., Hygin, Macr., Alex. Aphr., Polyd., Festus, Spart., Volaterr., Florus, Corn. Nep., Val. Max., Tac., Dio, Suet. …",,,MHS,6/22/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_09,,,X,"Latinized version of Wolfgang Laz (1514-1565), Austrian physician and humanist
",,,LH,6/13/2014,THU & Charlotte,8/17/2018,,
p001r,p001r,p001r_3,c_001r_10,,,X,"LH: Petrus Appianus, Tutor to Charles V

MHS: Some possibility of a confusion between the father, Peter, and the son, Philipp, an Ingolstadt-born mathematician",,,MHS,6/21/2014,THU & Charlotte,8/17/2018,,
