tc divs,,tcn divs,,tl divs,,div id,notes,updates,,
/root[1]/div[1],tc_p001r_preTEI.xml,/root[1]/div[1],tcn_p001r_preTEI.xml,/root[1]/div[1],tl_p001r_preTEI.xml,p001r_1,,,,
/root[1]/div[2],tc_p001r_preTEI.xml,/root[1]/div[2],tcn_p001r_preTEI.xml,/root[1]/div[2],tl_p001r_preTEI.xml,p001r_2,,,,
,,/root[1]/div[3],tcn_p001r_preTEI.xml,/root[1]/div[3],tl_p001r_preTEI.xml,,"5 divs total in tcn and tl but only 4 in tc

in tc, it is margin - ""Vuolfangus lazius Petrus appianus Mathemat{icus} Ingolstadiensis Comment. urb. rom.""",divs have been updated to reflect the 5 divs in tcn and tl,,
/root[1]/div[3],tc_p001r_preTEI.xml,/root[1]/div[4],tcn_p001r_preTEI.xml,/root[1]/div[4],tl_p001r_preTEI.xml,p001r_4,,,,
/root[1]/div[4],tc_p001r_preTEI.xml,/root[1]/div[5],tcn_p001r_preTEI.xml,/root[1]/div[5],tl_p001r_preTEI.xml,p001r_5,,,,
/root[1]/div[1],tc_p002v_preTEI.xml,/root[1]/div[1],tcn_p002v_preTEI.xml,/root[1]/div[1],tl_p002v_preTEI.xml,p002v_1,,,,
/root[1]/div[1]/div[1],tc_p006v_preTEI.xml,/root[1]/div[1]/div[1],tcn_p006v_preTEI.xml,/root[1]/div[1]/div[1],tl_p006v_preTEI.xml,div within div for margin and figure,,,,
/root[1]/div[1],tc_p014v_preTEI.xml,/root[1]/div[1],tcn_p014v_preTEI.xml,/root[1]/div[1],tl_p014v_preTEI.xml,blank page - empty div tag,,,,
/root[1]/div[1]/div[1],tc_p016r_preTEI.xml,/root[1]/div[1]/div[1],tcn_p016r_preTEI.xml,/root[1]/div[1]/div[1],tl_p016r_preTEI.xml,div within div,review in contect of isssue #780,ask THU,,
/root[1]/div[1]/div[2],tc_p016r_preTEI.xml,/root[1]/div[1]/div[2],tcn_p016r_preTEI.xml,/root[1]/div[1]/div[2],tl_p016r_preTEI.xml,div within div,,,,
,,,,,,23r_1,no category,need supplied header,[on petards],arms and armor
/root[1]/div[2],tc_p023v_preTEI.xml,/root[1]/div[2],tcn_p023v_preTEI.xml,/root[1]/div[2],tl_p023v_preTEI.xml,p023v_1,no category - div begins: Les mortiers quon veult poser aulx portes ou grilles de<lb/>....,decision - not separate div,,
/root[1]/div[1],tc_p054v_preTEI.xml,/root[1]/div[1],tcn_p054v_preTEI.xml,/root[1]/div[1],tl_p054v_preTEI.xml,p054v_1,page starts with figure of preservation barrel - no header,need supplied header,[on dry preserves],
/root[1]/div[2],tc_p084r_preTEI.xml,/root[1]/div[2],tcn_p084r_preTEI.xml,/root[1]/div[2],tl_p084r_preTEI.xml,p084r_2,no category - under hr of impromptu masks. continuation of unknown entry,"Seems to be continued from 84r_5 at the bottom of this page, but no corresponding mark is entered there, and a verb appears to be missing",markup to be updated an comment made,
/root[1]/div[5],tc_p125r_preTEI.xml,/root[1]/div[5],tcn_p125r_preTEI.xml,/root[1]/div[5],tl_p125r_preTEI.xml,,"""secret""",not in entry list,,
/root[1]/div[2],tc_p162r_preTEI.xml,/root[1]/div[2],tcn_p162r_preTEI.xml,/root[1]/div[2],tl_p162r_preTEI.xml,,div part of la boutique,"divs needed anymore? check with THU, THC",,
/root[1]/div[3],tc_p162r_preTEI.xml,/root[1]/div[3],tcn_p162r_preTEI.xml,/root[1]/div[3],tl_p162r_preTEI.xml,,div part of la boutique,,,
/root[1]/div[4],tc_p162r_preTEI.xml,/root[1]/div[4],tcn_p162r_preTEI.xml,/root[1]/div[4],tl_p162r_preTEI.xml,,div part of la boutique,,,
/root[1]/div[1],tc_p169r_preTEI.xml,/root[1]/div[1],tcn_p169r_preTEI.xml,/root[1]/div[1],tl_p169r_preTEI.xml,p169r_1,,,,
/root[1]/div[1],tc_p170v_preTEI.xml,/root[1]/div[1],tcn_p170v_preTEI.xml,/root[1]/div[1],tl_p170v_preTEI.xml,p170v_1,"no category - "" Lan mil cinq cens septante huict le deuxiesme....""",account book - supplied header,[1578-9 original first page],Manuscript Structure
/root[1]/div[4],tc_p170v_preTEI.xml,/root[1]/div[4],tcn_p170v_preTEI.xml,/root[1]/div[4],tl_p170v_preTEI.xml,,"no category - "" Reru{m} scoticarum historia Georgio Bucanano auth{ore}....""",list of books,[list of books],lists
