folio	div_id	heading_tc	heading_tcn	heading_tl	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu
001r	p001r_1					CONTAINS FIGURE							fleur de pastel		pastel	rue de la heaumerie a limage sainct claude;faulxbourgs de sainct germain;rue des escrivains;sainct Jaques de la boucherie	Mestre Nicolas Coste;Mestre Jehan Cousin;Mestre Jehan Garnier	mestre;courroyeur				
001r	p001r_2																	moissonneur				
001r	p001r_3					CONTAINS FIGURE			aucupio;venatione							urb. rom.;Italiene;Lyon	Savonne;Synesius;Olaus Magnus;Mestre Bernard palissi;roy;royne mere	bergiers;inventeur des rustiques figulines;roy;royne mere				
001r	p001r_4								Aquatilium animalium							Romæ						
001r	p001r_5															Normandie;Alexandria	Alexander Aphrodisæus;Polydorus vergilius;Appianus;Athenæus;Servius;Macrobius;Festus;Nonius;Magius;Pollux;Higinus;Seneca;Dionisius Halicarnassensis;Iulius Capitollinus;Budæus;Spartianus;Blondus;Volaterranus;Herodotus;Paulus Manutius;Iulius firmicus;Quintus Curtius;Dion;Cornelius Nepos;Flavius Vopiscus					
001v	p001v_1	Pour lascher le ventre	Pour lascher le ventre	For easing the belly					poulet	ventre;estomac			pruneaux de Sainct Antonin;foeilles de mauves & de viole;sucre;canelle;bouillon de poulet;racine de guimave;cirop de guindoles doulces;eau		pruneaux;mauves;viole;canelle;guimave;guindoles	Sainct Antonin						
002r	p002r_1	Livres a recouvrer	Livres à recouvrer	Books to recover																		
002r	p002r_2	Contre douleurs	Contre douleurs	Against pains									Huile de tourmentine;huile de jacob;sel tire de la cendre de choux		choux							
002v	p002v_1															brescia						
002v	p002v_2	@esmeraldes de Brissac	Esmeraldesde Brissac	Emeralds of Brissac		CONTAINS FIGURE							esmeraldes de Brissac;minium;christal;marbre;verdet;lute	℥;|ʒ|;heures;grains		Brissac				marbre;croiset couvert dun aultre bien lute qui ait un trou dans le hault		
002v	p002v_3	safir	Safir	Sapphire		CONTAINS FIGURE							safir;Caillous;christal;minium;sel de febvre;coryal	℥;grains;heures				febvre				
003r	p003r_1	Coral contrefaict	Coral contrefaict	Counterfeit coral		CONTAINS FIGURE							Coral contrefaict;boys;branche despine;poix resine claire;vermeillon broye;huile de noix;laque platte de venise;resine;charbon;colophonie;rousine;plombe;eau;gros caneva;estamine bien claire;vinaigre;coral;mastic;rousine purifiee;soufre;vermeillon;desmail de gueule;ciment;mesle de verre;brique;esmail de gueule;esmails	lb;once;heure;quarte partie	noix	venise				pot plombe;brasier;baston;gros caneva;estamine bien claire;lime		
003r	p003r_2	Vernis pour tableaulx	Vernis pour tableaulx	Varnish for panels						doigt	sols	a lombre;au soleil;pluye	Vernis;tourmentine de venise;huile de tormentine;charbon;huile;tormentine;tourmentine;huile de tourmentine;vernis;vernist;vernis de mastic;rousine	lb		venise				pot;doigt		
003r	p003r_3	Gros vernis pour le plancher	Gros vernis pour le plancher	Thick varnish for floorboards			continued						Gros vernis;vernis;huile de lin;aux;bled;grosse tourmentine commune									
003v	p003r_3					CONTAINS FIGURE		continues			sols	au soleil	tourmentine fine;tourmentine commune;huile de tourmentine fine;huile de tourmentine;tourmentine ce soict ou fine ou grossiere;eau froide;colophoine;pix græca;eau de vye;cuivre;charbon;vernis;estame	lb;seau en heure;seau						vaisseau;fourneau;vaisseau de cuivre;trepier		
003v	p003v_1	Pour vernir	Pour vernir	For varnishing									vernis de tourmentine;cole;bois;aspic;sandaraque;fer;gomme;colle de destrempe;colle de retailles									
004r	p004r_1	Vernis dhuile daspic	Vernis d’huile d’aspic	Varnish of spike lavender oil						doigt			Vernis dhuile daspic;huile daspic;gomme de sandaraque en pouldre;sandaraque;charbon;vernis;sandaraque pulverisee;hebene;tourmentine fine;vernis de lin;tourmentine;mastic pulverise;plastre;colle de retaille;vernis dhuile daspic	lb;onces				quadraniers;quiterniers		assiette;doigt		
004r	p004r_2	Pour oster le vernis dun vieulx tableau qui est jaunastre & le vernir de nouveau	Pour oster le vernis d'un vieulx tableau qui est jaunastre & le vernir de nouveau	To remove varnish from an old panel that has yellowed & varnish it anew								au soleil	vernis;savon blanc;cendree tamisee;eau;cendre;savon;vernis de tourmentine	seau;un quart dheure						tamisee;esponge;seau		
004v	p004v_1	Vernis noir pour garde despee bandes de bahus &c	Vernis noir pour garde d'espée, bandes de bahus &c.	Black varnish for sword guard, bands for trunks, &c.		CONTAINS FIGURE					sols	basse court;lieu descouvert	Vernis noir;huile de lin;huile de noix;aulx;oignons;queues de pourrceaulx;crostes de pain;huile;poix noire;bled de froment;poix;fer;charbons;vernis;vernis noir;geyct;Galipot;gousses dail pelees	un bon quart dheure;lb;la grosseur dune noix;joinctee;patenostres;un demy jour	lin;noix;aulx;oignons;queues de pourrceaulx;bled de froment;ail			fourbisseur		plume;broisse		
004v	p004v_2	Vernis noir sans foeu sans demonter les harnois ou deffaire les bandes des bahus	Vernis noir sans foeu, sans demonter les harnois ou deffaire les bandes des bahus	Black varnish without fire, without disassembling the harnesses or removing the bands from trunks									Vernis noir;vernis dhuile daspic;noir a noircir;noir de lampe;Vernis;vernis de tourmentine		aspic					broisse		
004v	p004v_3	Vernis des graveurs sur le fer	Vernis des graveurs sur le fer	Varnish ofiron engravers			continued						Vernis des graveurs sur le fer;huile de lin;huile de noix;poix noire;poix resine;vernir noir;fer;vernis;acier;sel;verdegris;vinaigre bien fort	heures	lin;noix			graveurs sur le fer		poincte dacier;esponge		
005r	p004v_3							continues					linge	heures	linge							
005r	p005r_1	Mirouers dacier	Mirouers d’acier	Steel mirrors		CONTAINS FIGURE							acier;potee desmery;cuivre franc;rosette;estain;cuivre de rosette;estain doux;cuivre;pierre blanche;huile;plastre;sable menu;arene;tripoli de venise;potee;eau;tripoli	moictie		venise				moule;creuseau;moule de pierre blanche poinct oeilletee;arene;tripoli de venise;potee;tripoli		
005r	p005r_2	Mirouers concave	Mirouers concave	Concave mirrors			continued			visaige;poil de la barbe				pas					regarder;regardes	mirouer concave		
005v	p005r_2							continues		teston;lieulx secrets;doigt;petit doigt		fenestre;rue;porte percee dune chambre fermee;soleil	papier;paille;chandelle	au bout de la table;petit doigt;milieu de la foeille			ptolomee;Archimedes	femmes;Chirurgiens	touches	mirouer concave;chandelle;fenestre;mirouer;table;foeuille de papier;foeille;foeille de papier		
005v	p005v_1	Pour bronser de blanc et jaulne	Pour bronser de blanc et jaulne	For bronzing in yellow and white									estaim de glace;argent vif;cendre;eau nette;mabre;eau de ret colle de retaille;bois;limaille despingle;colle	demy lb;demy once						mabre;chandeliers de bois;dent		
006r	p006r_1	Pour poser et assoir dor bruny et donner rouge ou verd ou bleud	Pour poser et assoir d’or bruny et donner rouge ou verd ou bleud	For laying down and setting burnished gold and giving red or green or blue					mouton			a la pluye	or bruny;ceruse;blanc de plomb;or mat;huile;ocre;mine;plomberies dorees;bonne craye bien blanche bien broyee;colle a destrempe;bois;prele;queue de cheval;fin boli armeni;sanguine;suif de mouton;febve;poys;bol;charbon de saule;suif;safran;sucre candy;eau;gomme;colle;or;eau claire;rouge cler;laque platte de venise;mabre;huile de noix ou de lin;vernis de tourmentine ou daspic;bresil;laque ronde;verd de gris;vernis de tourmentine & non de aspic;verdegris;azur;argent bruny;azur desmail;vernis de tourmentine	une demy coquille de nois	prele;queue de cheval;febve;poys;saule;nois;safran;noix;lin;aspic;bresil	armeni;venise				drap;pinceau;mabre		
006v	p006v_1	Pour ga cach cages	Pour ga cach cages	For ga cach cages		CONTAINS FIGURE				main			canulles desmail;fil darchal ou de fer;bois;cendre	grandeur dun pot doeillets	oeillets			boutonniers aussi de verre		canulles desmail;canulles;lime qui couppe;modelle de bois;rechault;lampe;petit fourneau;four de reverberation;canulle;pincettes a long bec;pincette;fourneau;lime;grille;four		
006v	p006v_2	Pour stampes a embellir et incruster ou revestir le bord des mirouers ou dessus de coffres ou frises des pantes de lict	Pour stampes à embellir et incruster ou revestir le bord des mirouers ou dessus de coffres ou frises des pantes de lict	For stamped ornaments used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances									fer;cuivre;eau fort;estain doulx;marbre poly;bois;plomb;estain;estaim;feultre;dore							burin;ciseau;marbre poly;planche de bois;table;presse a rouleaux;piece de feultre;marteau		
007r	p007r_1	Pour dorer dor couleur et dor bel	Pour dorer d’or couleur et d’or bel	For gilding with gold color and tinsel								au soleil;a la pluye	or couleur;or bel;estain;fer;cuivre;colle;bois;huile gras;huile de noix;blanc de plomb;huile;massicot;mine de plomb;minium;or;cotton;fumee de perdrix;drap;velours;satin;colle forte	jours								
007r	p007r_2	Pour colorer bahus stampes	Pour colorer bahus stampés	For coloring stamped trunks									lamine de cuivre ou letton;bois de cormier;laque;verdet;azur desmail;vernis de tourmentine;fer blanc;azur		cormier							
007r	p007r_3	Doublets	Doublets	Doublets					dragon				sang de dragon;eau de vye;mastic;colle;verd de vessie;safran		safran							
007r	p007r_4	Colle de poisson ou usblac et colle de bouche	Colle de poisson ou usblac et colle de bouche	Fish glue or isinglass and mouth glue					poisson;moulue	bouche			Colle de poisson;usblac;colle de bouche;peau de moulue;salee;collent;eau qui ne bouille gueres;ratisseures de parchemin;coller;papier;eau de vye;vinaigre;vin blanc	nuict				menusiers;quiterniers		bouche		quiterniers
007v	p007v_1	Pour donner couleur de toute sorte de metaulx au boys & aultre chose	Pour donner couleur de toute sorte de metaulx au boys & aultre chose	For giving the color of all kinds of metals to wood & other things									metaulx;boys;pierre de touche;pierre ponce;colle de retailles;metal									
007v	p007v_2	Contre la colique venteuse	Contre la colique venteuse	Against windy colic						matrice			noix communes seiches;verre;bon vin;vin;noix	douzaine;moictie;dose	noix					brasier;pincettes;verre de bon vin		
007v	p007v_3	Pour oster la douleur de la goutte	Pour oster la douleur de la goutte	To relieve the pain of gout									marquasite doree & jaulne subtillement pulverisee;storax;urine;cuivre;linge;eau	demy lb;demy once;lb						mortier;pot;alembic bien lute & couvert dun chapiteau de cuivre;linge		
007v	p007v_4	Contre gonhorrea	Contre gonhorrea	Against gonorrhea		CONTAINS FIGURE							Aquae fabrorum antiquae;boli armeniae;mellis communis;mellis	lb;℥;ʒ								
008r	p008r_1	Lettre dor sur papier	Lettre d'or sur papier	Lettering of gold on paper									or;papier;laict de figuier;linge		figuier					linge		
008r	p008r_2	Pour rompre grenades et donner violence aux artifices de foeu	Pour rompre grenades et donner violence aux artifices de foeu	For bursting grenades and giving force to fireworks									pouldre;vif argent	six fois autant;la sixiesme partye								
008r	p008r_3	Trempe de balle pour fausser armes a preuve	Trempe de balle pour fausser armes a preuve	Tempering for balls for piercing armor of proof									plomb;plus fort vinaigre;lard;linge									
008r	p008r_4	Pour de nuict fayre bresche en une muraille	Pour de nuict fayre bresche en une muraille	For making a breach in a wall by night								une muraille;muraille	pouldre									
008v	p008v_1	Polissement du ruby balay	Polissement du ruby balay	Polishing of the balas ruby									ruby balay;tripoly;pouldre de marchasite;huile									
008v	p008v_2	Or et argent moulu	Or et argent moulu	Or et argent moulu		CONTAINS FIGURE							Or et argent moulu;or fin;☿;mercure;mabre;eau gommee;argent;eau fort;cuivre							mabre;lame de cuivre		
008v	p008v_3	Polissement de pierres	Polissement de pierres	Polishing of stones									pierres;estain;plomb;cuivre fin;cuivre;diamant;rubi;saphir;jacinthe orientale;esmeraulde;ametiste							roues une destain de plomb & de cuivre fin;roue de cuivre;roue destain		
008v	p008v_4	M ixtion des pintiers	M ixtion des pintiers	Mixture of Pewterers									fin estaing;plomb;estaing;limaille de letton	moictie				pintiers	sonnant			
008v	p008v_5	Amalgame parfaict	Amalgame parfaict	Perfect amalgam		CONTAINS FIGURE							grais;☿;eau;☾;☼;eau fort;♀	huictiesme partye								
009r	p009r_1	Laboureur	Laboureur	Plowman								a la frescheur & aux rays de la lune			millet;bled;mil;pomole;baillard;febves	gascoigne;france		Laboureur;mestiviers				
009r	p009r_2	Painctre	Painctre	Painter														Painctre		plume;pinceau		
009r	p009r_3	Marchant	Marchant	Merchant								jugement						Marchant;aprentifs				
009v	p009v_1	Painctre	Painctre	Painters									orpiment;verre;cendres;grenats;esmail rouge;huile;sel commun;vert de terre					Painctre		bouteille de verre;mattelas		
009v	p009v_2	@Marchant	Marchant	Merchant														Marchant;Marchans				
009v	p009v_3					CONTAINS FIGURE					livres;lb		toille babtiste	cane;livres Canne;Canne;livres;lb			francois du Cros;Francois du Cros;du Cros;sainct andre					
010r	p010r_1	Jaspe contrefaict	Jaspe contrefaict	Counterfeit jasper									Jaspe contrefaict;corne;jaspe;cornalines;pierres;verre;roses;tourmentine claire;vernis daspic;huiler;huile daspic;limaille de talc ou despingle;ciment;gomme armoniac;vinaigre;jaspe grumeleux;laines a gros poil;or & argent en foeille;tourmentine;argent;foeille destaing;colle forte		roses;aspic					limer;rabot		
010r	p010r_2	Scudegrun	Scudegrun	Stil de grain yellow									Scudegrun;suc de gaulde;croye;ceruse;destrempe;huile			lyon						
010r	p010r_3	Roses	Roses	Roses									corne de lanternes;parchemin		Roses							
010r	p010r_4	Couleur de pourpres	Couleur de pourpres	Purple color									azur commun;azur desmail;laque;alum					painctres				
010r	p010r_5	Pouldre dhorloges de sable	Pouldre d’horloges de sable	Powder for sand glasses		CONTAINS FIGURE							Pouldre;plomb;sel commun pulverise subtilement;pierre;terre;fer;sel;mabre;eau;petite pouldre	lb;℥						fer;mabre;tamis fin		
