ms-xml/tc/tc_p001r_preTEI.xml,,ms-xml/tcn/tcn_p001r_preTEI.xml,,ms-xml/tl/tl_p001r_preTEI.xml
7 ab,,11 ab,,11 ab
1 add,,1 add,,1 add
3 al,,3 al,,1 al
8 comment,,2 comment,,62 comment
6 div,,5 div,,5 div
1 emph,,1 emph,,1 emph
19 exp,,19 exp,,1 exp
5 head,,5 head,,4 fr
2 hr,,2 hr,,5 head
7 la,,7 la,,2 hr
63 lb,,63 lb,,7 la
1 m,,1 m,,57 lb
4 mark,,4 mark,,1 m
1 pa,,1 pa,,4 mark
10 pl,,10 pl,,1 pa
34 pn,,35 pn,,10 pl
7 pro,,7 pro,,35 pn
1 root,,1 root,,8 pro
5 sup,,5 sup,,1 root
,,,,5 sup
ms-xml/tc/tc_p001v_preTEI.xml,,ms-xml/tcn/tcn_p001v_preTEI.xml,,ms-xml/tl/tl_p001v_preTEI.xml
3 ab,,3 ab,,3 ab
1 al,,1 al,,1 al
3 bp,,3 bp,,3 bp
1 comment,,1 div,,1 div
1 div,,1 exp,,1 head
1 exp,,1 head,,8 m
1 head,,4 lb,,4 md
4 lb,,8 m,,6 pa
8 m,,4 md,,1 pl
4 md,,6 pa,,1 root
6 pa,,1 pl,,1 tmp
1 pl,,1 root,,
1 root,,1 tmp,,
1 tmp,,,,
ms-xml/tc/tc_p002r_preTEI.xml,,ms-xml/tcn/tcn_p002r_preTEI.xml,,ms-xml/tl/tl_p002r_preTEI.xml
2 ab,,2 ab,,2 ab
2 div,,2 div,,9 comment
2 head,,2 head,,2 div
1 hr,,1 hr,,2 head
8 lb,,8 lb,,1 hr
3 m,,3 m,,3 m
1 md,,1 md,,1 md
1 pa,,1 pa,,1 pa
1 root,,1 root,,1 root
,,,,
ms-xml/tc/tc_p002v_preTEI.xml,,ms-xml/tcn/tcn_p002v_preTEI.xml,,ms-xml/tl/tl_p002v_preTEI.xml
4 ab,,4 ab,,4 ab
4 add,,4 add,,2 add
6 comment,,3 comment,,4 comment
3 div,,3 div,,3 div
1 emph,,1 emph,,1 emph
12 exp,,12 exp,,1 fr
3 head,,3 head,,3 head
1 ill,,1 ill,,1 ill
1 it,,1 it,,1 it
9 lb,,9 lb,,15 m
15 m,,15 m,,14 ms
14 ms,,14 ms,,2 pl
2 pl,,2 pl,,1 pn
1 pn,,1 pn,,1 pro
1 pro,,1 pro,,1 root
1 root,,1 root,,1 sup
1 sup,,1 sup,,3 tl
3 tl,,4 tl,,4 tmp
4 tmp,,4 tmp,,
ms-xml/tc/tc_p003r_preTEI.xml,,ms-xml/tcn/tcn_p003r_preTEI.xml,,ms-xml/tl/tl_p003r_preTEI.xml
9 ab,,9 ab,,9 ab
1 bp,,1 bp,,1 bp
1 cn,,1 cn,,1 cn
2 del,,2 del,,2 comment
3 div,,3 div,,2 del
3 env,,3 env,,3 div
8 exp,,8 exp,,3 env
3 head,,3 head,,2 fr
80 lb,,80 lb,,3 head
52 m,,53 m,,52 m
1 mark,,1 mark,,1 mark
7 ms,,7 ms,,7 ms
1 pa,,1 pa,,1 pa
2 pl,,2 pl,,2 pl
1 root,,1 root,,1 root
10 tl,,10 tl,,10 tl
6 tmp,,6 tmp,,6 tmp
ms-xml/tc/tc_p003v_preTEI.xml,,ms-xml/tcn/tcn_p003v_preTEI.xml,,ms-xml/tl/tl_p003v_preTEI.xml
5 ab,,5 ab,,5 ab
1 add,,1 add,,1 add
3 cn,,3 cn,,3 cn
2 del,,2 del,,2 del
2 div,,2 div,,2 div
1 env,,1 env,,1 env
4 exp,,4 exp,,1 figure
1 figure,,1 figure,,1 head
1 head,,1 head,,1 la
1 la,,1 la,,26 m
29 lb,,29 lb,,7 ms
26 m,,26 m,,1 po
7 ms,,7 ms,,1 root
1 po,,1 po,,7 tl
1 root,,1 root,,1 tmp
7 tl,,7 tl,,
1 tmp,,1 tmp,,
ms-xml/tc/tc_p004r_preTEI.xml,,ms-xml/tcn/tcn_p004r_preTEI.xml,,ms-xml/tl/tl_p004r_preTEI.xml
5 ab,,5 ab,,5 ab
1 add,,1 add,,1 add
1 bp,,1 bp,,1 bp
1 comment,,2 del,,1 del
2 del,,2 div,,2 div
2 div,,1 env,,1 env
1 env,,3 exp,,2 head
3 exp,,2 head,,29 m
2 head,,37 lb,,5 ms
37 lb,,29 m,,1 mu
29 m,,5 ms,,2 pro
5 ms,,1 mu,,1 root
1 mu,,2 pro,,5 tl
2 pro,,1 root,,1 tmp
1 root,,5 tl,,
5 tl,,1 tmp,,
1 tmp,,,,
1 ups,,,,
