ms-xml/tc/tc_p085v_preTEI.xml,,ms-xml/tcn/tcn_p085v_preTEI.xml,,ms-xml/tl/tl_p085v_preTEI.xml
9 ab,,9 ab,,9 ab
1 cn,,1 cn,,1 cn
3 comment,,2 comment,,1 comment
2 del,,1 corr,,2 del
4 div,,3 del,,4 div
3 env,,4 div,,2 env
8 exp,,3 env,,1 exp
4 head,,8 exp,,7 fr
38 lb,,4 head,,4 head
25 m,,38 lb,,25 m
1 mark,,25 m,,1 mark
1 ms,,1 mark,,1 ms
1 pa,,1 ms,,1 pa
1 pl,,1 pa,,1 pl
1 pn,,1 pl,,1 pn
3 pro,,1 pn,,3 pro
1 root,,3 pro,,1 root
3 sn,,1 root,,3 sn
10 tl,,3 sn,,10 tl
1 wp,,9 tl,,1 wp
,,1 wp,,
ms-xml/tc/tc_p086r_preTEI.xml,,ms-xml/tcn/tcn_p086r_preTEI.xml,,ms-xml/tl/tl_p086r_preTEI.xml
3 ab,,3 ab,,3 ab
1 al,,1 al,,1 al
1 bp,,1 bp,,1 bp
1 comment,,1 comment,,1 comment
6 del,,6 del,,6 del
1 div,,1 div,,1 div
2 emph,,2 emph,,2 emph
11 exp,,11 exp,,5 fr
43 lb,,43 lb,,27 m
26 m,,26 m,,1 pa
1 pa,,1 pa,,1 root
1 root,,1 root,,13 tl
13 tl,,13 tl,,1 underline
1 underline,,1 underline,,
ms-xml/tc/tc_p086v_preTEI.xml,,ms-xml/tcn/tcn_p086v_preTEI.xml,,ms-xml/tl/tl_p086v_preTEI.xml
5 ab,,5 ab,,5 ab
1 comment,,2 comment,,1 comment
4 del,,4 del,,4 del
2 div,,2 div,,2 div
1 emph,,1 emph,,1 emph
2 env,,2 env,,2 env
8 exp,,8 exp,,1 figure
1 figure,,1 figure,,4 fr
1 head,,1 head,,1 head
32 lb,,32 lb,,24 m
24 m,,24 m,,1 mark
6 ms,,6 ms,,7 ms
1 root,,1 root,,1 root
1 sn,,1 sn,,1 sn
8 tl,,8 tl,,9 tl
3 tmp,,3 tmp,,3 tmp
ms-xml/tc/tc_p087r_preTEI.xml,,ms-xml/tcn/tcn_p087r_preTEI.xml,,ms-xml/tl/tl_p087r_preTEI.xml
8 ab,,8 ab,,8 ab
1 add,,1 add,,1 add
1 bp,,1 bp,,1 bp
2 comment,,1 comment,,2 del
2 del,,2 del,,2 div
2 div,,2 div,,3 emph
3 emph,,3 emph,,2 env
2 env,,2 env,,4 fr
7 exp,,7 exp,,1 head
1 head,,1 head,,1 hr
1 hr,,1 hr,,11 m
