folio,folio_display,div_id,categories,heading_tl,al_tl,bp_tl,cn_tl,def_tl,env_tl,m_tl,md_tl,ms_tl,mu_tl,pa_tl,pl_tl,pn_tl,pro_tl,sn_tl,tl_tl,tmp_tl,wp_tl,de_tl,ge_tl,it_tl,la_tl,oc_tl,po_tl
001r,1r,p001r_1,lists,[List of names],,,,,,pastel woad flowers,,,,pastel woad,"Rue de la Heaumerie, at the sign of St Claude;Faubourg Saint-Germain;Rue des Escrivains;St Jacques de la Boucherie","Mestre Nico[illegible] Costé;Mestre Jehan Cousin,;Mestre Jehan Garnier",master;currier,,,,,,,,,,
001r,1r,p001r_2,lists,[List],,,,,,,,,,,Eleusinæ,Eleusinæ deæ,harvester,,,,,,,,Sacra Eleusinæ deæ propalare nefas,,
001r,1r,p001r_3,lists,[List of books and authors],aucupio,,,,,,,,,,Ingolstadiensis;urb. rom.;italie;Lyon;Alexandria;Normandie,Vuolfangus Lazius;Petrus Appianus;Hieronimo Ruscelli;Hermolaus Barbarus;Angelius Bargæus;Nicolaus Damascenus;Caresariensis;Isidorus;Osorius;Eupolemus;Savonne;Synesius;Olaus Magnus;Mestre Bernard Palissi;Alexander Aphrodisæus;Polydorus Vergilius;Appianus;Athenæus;Pausanias;Statius;Servius;Macrobius;Aulus Gellius;Alexander ab Alexandria;Festus;Nonius;Magius;Pollux;Higinus;Berosus;Suetonius;Valerius Maximus;Cornelius Tacitus;Xenophon;Seneca;Dionisius Halicarnassensis;Sabellicus;Julius Capitolinus;Budæus;Spartianus;Blondus;Volaterranus;Herodotus;Paulus Manutius;Strabo;Julius Firmicus;Quintus Curtius;Dion;Cornelius Nepos;Flavius Vopiscus,historicus;bergiers;inventor of rustic figulines;king;queen mother,,,,,,,,"mathematicus Ingolstadiensis, Comment. urb. rom.;De aucupio et venatione;De rebus Persarum;historicus gentilis qui de rebus Davidis & Salomonis scripsit;Thebaidos;in Aeneidem;Miscellanea;Onomasticon;cum permultis  aliis",,
001r,1r,p001r_4,lists,[List of books],,,,,,,,,,,Romæ,Hypolito Salviano,,,,,,,,,"Aquatilium animalium historiæ, Hypolito Salviano Typhernate authore, Romæ 1554",,
001v,1v,p001v_1,medicine,For loosening the belly,chicken,belly;stomach;belly,,,,Prunes of Saint Antonin;leaves of mallow & gilliflower;sugar;cinnamon;marshmallow root;chicken broth;syrup of sweet jujubes;water,For loosening the belly;for the stomach;mollifying;loosens the belly,,,Prunes;mallow;gilliflower;cinnamon;marshmallow;jujubes,Saint Antonin,,,,,in the morning,,,,,,,
002r,2r,p002r_1,lists,Books to recover,,,,,,,,,,,,,,,,,,,,,In Exegesi,,
002r,2r,p002r_2,medicine,Against pains,,,,,,Turpentine oil;oil of Jacob;salt extracted from cabbage ash,Against pains,,,cabbage,,,,,,,,,,,,,
002v,2v,p002v_1,lists,[List of books],,,,,,,,,,,Brescia,Vincenzo Sabio,,,,,,,,"Practica, cioè nova inventione di contegiare, stampata in Brescia per Vincenzo Sabio.",,,
002v,2v,p002v_2,stones,Emeralds of Brissac,,,,,,Emeralds of Brissac;minium;crystal;marble;verdet;luted;minium;crystal;verdet,,℥;℥;|ʒ|;hours;℥;℥;grains;hours;hours,,,Brissac,,,,"marble;crucible covered with another, well luted, that has a hole in the top;luted",hours;hours;hours,,,,,,,
002v,2v,p002v_3,stones,| Sapphire,,,,,,Sapphire;Pebbles;crystal;minium;blacksmith’s salt;coryal,,℥;℥;℥;grains;hours,,,,,blacksmith,,,hours,,,,,,,
003r,3r,p003r_1,stones,Counterfeit coral,,,,,,Counterfeit coral;wood;thorn branch;clear pitch resin;subtly ground vermilion;walnut oil;Venice laque platte;resin;charcoal;charcoal;Colophony;resin;leaded;resin;water;coarse canvas;very light tammy cloth;vinegar;vinegar;coral;mastic;purified resin;mastic;Sulfur;vermilion;coral;gules red enamel;cement;pestled <-than of-> glass;brick;gules red enamel;vermilion;enamels,,lb;ounce;hour;quarter part,,walnut,Venice,,,,leaded pot;brazier;stick;coarse canvas;very light tammy cloth;file;pestled;pestled,hour,,,,,,,
003r,3r,p003r_2,varnish,Varnish for panels,,finger,sous,,in the shade;in the sun;rain,Varnish;Venice turpentine;turpentine oil;charcoal;oil;turpentine;turpentine;turpentine oil;varnish;varnish;Mastic varnish;oil;rosin,,lb;lb;lb,,,Venice,,,,pot;finger,overnight;during the winter;in the summer,,,,,,,
003r,3r,p003r_3,varnish,Thick varnish for planks,,,sous;sous;sous,,in the sun,"Thick varnish;varnish;linseed oil;garlic;wheat;coarse common turpentine;fine turpentine;common turpentine;fine turpentine oil;turpentine oil;turpentine it may be, whether fine or crude;cold water;colophony;pix græca;eau-de-vie;copper;charcoal;varnish;copper;tinned",,lb;lb;lb;lb;bucket an hour;bucket;lb,,,,,,,vessel;vessel;vessel;oven;copper vessel;trivet;copper vessel,months;times past;hour,,,,,pix græca,,warp
003v,3v,p003v_1,varnish,For varnishing,,,,,,Turpentine varnish;glue;wood;spike lavender;sandarac;spike lavender;glue;iron;wood;gum;distemper glue;hide glue,,,,,,,,,,,,,,,,,
004r,4r,p004r_1,varnish,Varnish of spike lavender oil,,finger,,,,Varnish of spike lavender oil;lavender spike oil;powdered sandarac gum;charcoal;sandarac;varnish;lavender spike oil;pulverized sandarac;ebony;fine turpentine;linseed varnish;turpentine;pulverized mastic;sandarac;plaster;hide glue;varnish;Varnish of spike lavender oil;turpentine;spike lavender oil,,lb;ounces;ounces,guitar,,,,Frame makers;guitar makers,,plate;finger,,,,,,,,
004r,4r,p004r_2,varnish,For removing varnish from an old panel that is yellowish & varnishing it anew,,,,,in the sun,varnish;white soap;sieved ashes;water;ashes;soap;varnish;water;turpentine varnish,,bucket;quarter of an hour,,,,,,,sieved;sponge;bucket,quarter of an hour,,,,,,,
004v,4v,p004v_1,varnish;arms and armor,"Black varnish for sword guard, bands for trunks, &c",,handful,sous,,courtyard;open space,Black varnish;linseed oil;walnut oil;garlic;onions;hog’s fennel;bread crusts;oil;black pitch;grains of wheat;garlic;onions;pitch;oil;iron;charcoal;varnish;smokes;varnish;black varnish;jet;walnut oil;varnish;oil;galipot;peeled garlic cloves;varnish;sands,,good quarter of an hour;lb;the size of a walnut;double handful;good quarter of an hour;paternoster beads;half a day;lb;lb,,linseed;walnut;garlic;onions;hog’s fennel;walnut;grains of wheat;garlic;onions;walnut;garlic,,,furbishers,,feather;brush,good quarter of an hour;good quarter of an hour;half a day,sword guard,,,,,,
004v,4v,p004v_2,varnish,"Black varnish without fire, without disassembling the harnesses or removing the bands from trunks",,,,,,Black varnish;varnish of spike lavender oil;soot black;lampblack;Turpentine varnish,,,,spike lavender,,,,,brush,,,,,,,,
004v,4v,p004v_3,varnish,Varnish of iron engravers,,,,,,Varnish of iron engravers;linseed oil;walnut oil;black pitch;pitch resin;black varnish;iron;varnish;smokes;steel;salt;verdigris;quite strong vinegar;linen,,hours;hours,,linseed;walnut;linen,,,iron engravers,,steel point;sponge,hours;hours,,,,,,,
005r,5r,p005r_1,casting;metal process;practical optics,Steel mirrors,,,,,,Steel;steel;steel;emery putty;cuivre franc;rosette;tin;rosette copper;soft tin;copper;tin;white stone;oil;plaster;thin sand;plaster;plaster;arene;Venice tripoli;putty;arene;water;tripoli;putty,,half;half,,,Venice,,,,"emery putty;mold;crucible;mold, of white stone with no eyelets;mold;molded;thin sand;arene;Venice tripoli;putty;arene;tripoli;putty",,,,,,,,
005r,5r,p005r_2,practical optics,Concave mirrors,,face;hairs of your beard;nipple;secret places;finger;finger;little finger,,,window;street;window;window;street;pierced door of a closed room;sun,paper;paper;straw;candle,,pace;at the end of a table;little finger;middle of the sheet,,,,Ptolemy;Archimedes,women;surgeons,touch,concave mirror;concave mirror;candle;window;candle;candle;mirror;table;candle;table;sheet of paper;window;sheet;sheet;mirror;sheet of paper;candle,at night,,,,,,,
005v,5v,p005v_1,metal process;decorative,For bronzing in yellow and white,,,,,,looking-glass tin;quicksilver;ash;clean water;marble;water of <-ret-> hide glue;wooden;pin filings;glue,,half a lb;half an ounce,,,,,,,marble;tooth,,,,,,,,
006r,6r,p006r_1,painting,For laying down and seating burnished gold and giving red or green or blue,lamb ,,,,in the rain,"burnished gold;Ceruse;lead white;or mat;oil;ocher;mine;oil;or mat;gilded lead work;burnished gold;good chalk, quite white, well ground;distemper glue;wood;prele;horsetail;fine boli armeni;sanguine;lamb tallow;bean;pea;bole;willow charcoal;tallow;saffron;candy sugar;water;gum;glue;gold;clear water;gold;rouge clair;Venice  laque platte;marble;walnut or linseed oil;turpentine or spike lavender varnish;gold;Brazilwood;laque ronde;verdigris;walnut or linseed oil;turpentine varnish and not spike lavender varnish;verdigris;azure;burnished silver;azur d’esmail;turpentine varnish",,half a walnut shell,,prele;horsetail;bean;pea;willow;walnut;saffron;walnut;linseed;spike lavender;Brazilwood;walnut;linseed;spike lavender,armeni;Venice ,,,,prele;horsetail;cloth;paintbrush;marble;paintbrush,,,,,,boli armeni,,
006v,6v,p006v_1,glass process,For ga cach cages,,hand,,,,enamel cannules;latten or iron wire;wood;ash,,size of a carnation pot,,carnation,,,Glass button makers,,enamel cannules;cannules;cutting file;wood model;chafing-dish;lamp;small furnace;reverberatory furnace;cannule;small pincers with a long beak;small pincers;cannule;cannule;cannule;furnace;cannules;file;furnace;grate;furnace,,,,,,,,
006v,6v,p006v_2,decorative;household and daily life,"For stampings to embellish and encrust or cover the edges of mirrors, the tops of chests, or the friezes of bed valances",,,,,,aquafortis;iron;copper;soft tin;polished marble;wooden;lead;tin;tin;felt;gild,,,,,,,,,burin;chisel;polished marble;wooden board;roller press;piece of felt;hammer,,,,,,,,
007r,7r,p007r_1,painting,For gilding with gold color and tinsel,partridge,,,,in the sun;in the rain,gold color;tinsel;tin;iron;copper;glue;wood;fatty oil;walnut oil;lead white;oil;lead white;massicot;mine de plomb;Minium;gold;gold;cotton;gold;tinsel;smoke of partridge or of yellow or red cloth;cloth;gold;velvet;satin;strong glue,,days,,,,,,,,,,,,,,,
007r,7r,p007r_2,decorative;painting;varnish,For coloring stamped trunks,,,,,,sheets of copper or latten;service tree wood;lake;verdet;azur d’esmail;turpentine varnish;azure;fer blanc;azure,,,,service tree,,,,,,,,,,,,,
