folio	div_id	heading_tc	heading_tcn	heading_tl	categories	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu	df	wp
001r	p001r_1	[Liste de noms]	[Liste de noms]	[List of names]	lists									fleur de pastel		pastel	rue de la heaumerie a limage sainct claude;faulxbourgs de sainct germain;rue des escrivains;sainct Jaques de la boucherie	Mestre Nicolas Coste;Mestre Jehan Cousin;Mestre Jehan Garnier	mestre;courroyeur						
001r	p001r_2	[Liste]	[Liste]	[List]	lists														moissonneur						
001r	p001r_5	[Liste de livres et d'autheurs]	[Liste de livres et d'auteurs]	[List of books and authors]	lists												Alexandria	Alexander Aphrodisæus;Polydorus vergilius;Appianus;Athenæus;Pausanias;Servius;Macrobius;Festus;Nonius;Magius;Pollux;Higinus;Seneca;Dionisius Halicarnassensis;Sabellicus;Iulius Capitollinus;Budæus;Spartianus;Blondus;Volaterranus;Herodotus;Paulus Manutius;Iulius firmicus;Quintus Curtius;Dion;Cornelius Nepos;Flavius Vopiscus							
001r	p001r_3	[Liste de livres]	[Liste de livres]	[List of books]	lists					aucupio							urb. rom.;Italiene;Lyon	Savonne;Synesius;Olaus Magnus;Mestre Bernard palissi	historicus;bergiers;inventeur des rustiques figulines;roy;royne mere						
001r	p001r_4	[Liste de livres]	[Liste de livres]	[List of books]	lists					Aquatilium animalium							Romæ								
001r	p001r_3		[Liste de livres]	[List of books]	lists												Normandie								
001v	p001v_1	Pour lascher le ventre	Pour lascher le ventre	For easing the belly	medicine					poulet	ventre;estomac			pruneaux de Sainct Antonin;foeilles de mauves & de viole;sucre;canelle;bouillon de poulet;racine de guimave;cirop de guindoles doulces;eau		pruneaux;mauves;viole;canelle;guimave;guindoles	Sainct Antonin					Pour lascher le ventre;pour lestomac;remollitive;lasche le ventre			
002r	p002r_1	Livres a recouvrer	Livres à recouvrer	Books to recover	lists																				
002r	p002r_2	Contre douleurs	Contre douleurs	Against pains	medicine									Huile de tourmentine;huile de jacob;sel tire de la cendre de choux		choux						Contre douleurs			
002v	p002v_1	[Liste de livres]	[Liste de livres]	[List of books]	lists												brescia	vincenzo sabio							
002v	p002v_2	esmeraldes de Brissac	Esmeraldes de Brissac	Emeralds of Brissac	stones									esmeraldes de Brissac;minium;christal;marbre;verdet;lute	℥;|ʒ|;heures;grains		Brissac				marbre;croiset couvert dun aultre bien lute qui ait un trou dans le hault;lute				
002v	p002v_3	safir	Safir	Sapphire	stones									safir;Caillous;christal;minium;sel de febvre;coryal	℥;grains;heures				febvre						
