XPath Location,folio,id,link
/root[1]/div[1]/figure[1],p003v,fig_p003v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5ZUY4SkZBblA5MjA
/root[1]/div[1]/figure[1],p006v,fig_p006v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5eVFRYjVCTmczcmM
/root[1]/div[1]/figure[1],p014r,fig_p014r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5b2lVN19SU1Z6UkU
/root[1]/div[1]/figure[1],p016r,fig_p016r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5aUw0eThJNEVTelk
/root[1]/div[1]/ab[7]/figure[1],p019r,fig_p019r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5WWY3VjdlVktqZVk
/root[1]/div[1]/ab[1]/figure[1],p019v,fig_p019v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5SUUzLXQ4UVlGR1U
/root[1]/div[1]/ab[1]/figure[2],p019v,fig_p019v_2,https://drive.google.com/open?id=0B9-oNrvWdlO5cy0tdXF5MGJTLU0
/root[1]/div[1]/ab[1]/figure[3],p019v,fig_p019v_3,https://drive.google.com/open?id=0B9-oNrvWdlO5R0VMdFQ3VC1lQmM
/root[1]/div[1]/ab[1]/figure[4],p019v,fig_p019v_4,https://drive.google.com/open?id=0B9-oNrvWdlO5TGJOZGVvTmV1LW8
/root[1]/div[1]/figure[1],p022r,fig_p022r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5dWtBam9HWEpiaHc
/root[1]/figure[1],p022v,fig_p022v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5NkNrYkVZTlVnbDQ
/root[1]/div[1]/ab[1]/figure[1],p022v,fig_p022v_2,https://drive.google.com/open?id=0B9-oNrvWdlO5RnQ2Ri1PenA1aDA
/root[1]/div[1]/figure[1],p023r,fig_p023r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5RzRNM284T3Q0eTQ
/root[1]/div[1]/figure[1],p023v,fig_p023v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5Tm4ySC1wcUx6Yzg
/root[1]/div[1]/figure[1],p026r,fig_p026r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5SHVaaE9oQjRySlE
/root[1]/div[2]/figure[1],p026r,fig_p026r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5UGxoanZwVEw2akE
/root[1]/div[1]/figure[1],p026v,fig_p026v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5TmZXTkNLdDFjWms
/root[1]/div[1]/figure[1],p027r,fig_p027r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5S3loampQRU55UjQ
/root[1]/div[2]/figure[1],p027r,fig_p027r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5cE1VQlVlV2ZWakE
/root[1]/div[3]/figure[1],p027r,fig_p027r_3,https://drive.google.com/open?id=0B9-oNrvWdlO5M2Ftb2g0bG1FQ3c
/root[1]/div[1]/figure[1],p027v,fig_p027v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5bW1tdUg0czEzTjg
/root[1]/div[2]/figure[1],p027v,fig_p027v_2,https://drive.google.com/open?id=0B9-oNrvWdlO5OVloUjZocVpuVTg
/root[1]/div[3]/figure[1],p027v,fig_p027v_3,https://drive.google.com/open?id=0B9-oNrvWdlO5OGJ5MXhrMVFtVTA
/root[1]/div[4]/figure[1],p027v,fig_p027v_4,https://drive.google.com/open?id=0B9-oNrvWdlO5OWVRTXVjNTljRnM
/root[1]/div[5]/figure[1],p027v,fig_p027v_5,https://drive.google.com/open?id=0B9-oNrvWdlO5T2k5QjJ0ZGtfc1U
/root[1]/div[6]/figure[1],p027v,fig_p027v_6,https://drive.google.com/open?id=0B9-oNrvWdlO5WmlyWDktZUhka1E
/root[1]/div[7]/figure[1],p027v,fig_p027v_7,https://drive.google.com/open?id=0B9-oNrvWdlO5Z3BiOF9jTFlzdzA
/root[1]/div[8]/figure[1],p027v,fig_p027v_8,https://drive.google.com/open?id=0B9-oNrvWdlO5MVh1MEdHdDZLWmc
/root[1]/div[1]/figure[1],p028r,fig_p028r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5eUZXU293VGlmdVU
/root[1]/div[6]/ab[3]/figure[1],p029v,fig_p029v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5cXJfWVlSSGlKOGs
/root[1]/div[1]/figure[1],p033r,fig_p033r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5RWlDQlc4cU5HN3M
/root[1]/div[2]/figure[1],p033r,fig_p033r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5SFNtME0xWURubzA
/root[1]/div[2]/figure[1],p033v,fig_p033v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5MXk2RzNQdF9aeDg
/root[1]/div[1]/figure[1],p034v,fig_p034v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5VTA5cWtrWktEajQ
/root[1]/div[2]/figure[1],p035r,fig_p035r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5SGstUTZ6TFRnUjg
/root[1]/div[2]/figure[1],p035v,fig_p035v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5WEY2UUhMRTg4Y00
/root[1]/div[2]/figure[1],p036r,fig_p036r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5UmZaWjV2VE82QjQ
/root[1]/div[1]/figure[1],p045r,fig_p045r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5bkhmQklfNHJoRnc
/root[1]/div[1]/figure[1],p045v,fig_p045v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5ZlVWTkcyU2FfanM
/root[1]/ab[1]/figure[1],p046r,fig_p046r_1,https://drive.google.com/file/d/1G9nfjlsULz9521ia7VptfkJ_AjsSPO5H/view?usp=sharing
