folio	entry_id	entry_title	fig_text	id	link	caption	TYPE
003v	p003r_3		  	fig_p003v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5ZUY4SkZBblA5MjA		GRAPHIC
006v			  	fig_p006v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5eVFRYjVCTmczcmM		GRAPHIC
014r	p014r_1	Pour murailles de terre et bastiment rustique	     	fig_p014r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5b2lVN19SU1Z6UkU		GRAPHIC
016r			     	fig_p016r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5aUw0eThJNEVTelk		GRAPHIC
019r	p017r_1		   	fig_p019r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5WWY3VjdlVktqZVk		GRAPHIC
019v	p019v_1	Figures de mathematique sans regle et compas	   	fig_p019v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5SUUzLXQ4UVlGR1U		GRAPHIC
019v	p019v_1	Figures de mathematique sans regle et compas	  	fig_p019v_2	https://drive.google.com/open?id=0B9-oNrvWdlO5cy0tdXF5MGJTLU0		GRAPHIC
019v	p019v_1	Figures de mathematique sans regle et compas	  	fig_p019v_3	https://drive.google.com/open?id=0B9-oNrvWdlO5R0VMdFQ3VC1lQmM		GRAPHIC
019v	p019v_1	Figures de mathematique sans regle et compas	  	fig_p019v_4	https://drive.google.com/open?id=0B9-oNrvWdlO5TGJOZGVvTmV1LW8		GRAPHIC
022r	p022r_1		    	fig_p022r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5dWtBam9HWEpiaHc	Un peu trop grande voy celle de qui suictBalle de canon poisant 40 lb ayant 12 lignes pied de roy	GRAPHIC
022v			   	fig_p022v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5NkNrYkVZTlVnbDQ		GRAPHIC
022v	p022v_1	Orgues		fig_p022v_2	https://drive.google.com/open?id=0B9-oNrvWdlO5RnQ2Ri1PenA1aDA		GRAPHIC
023r	p023r_1		   	fig_p023r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5RzRNM284T3Q0eTQ		GRAPHIC
023v	p023r_1		   	fig_p023v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5Tm4ySC1wcUx6Yzg		GRAPHIC
026r	p026r_1		   	fig_p026r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5SHVaaE9oQjRySlE	Balle de canon	GRAPHIC
026r	p026r_2	Mortier	   	fig_p026r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5UGxoanZwVEw2akE		GRAPHIC
026v	p026r_1		   	fig_p026v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5TmZXTkNLdDFjWms	Balle de colevrine	GRAPHIC
027r	p026r_1		   	fig_p027r_1	https://drive.google.com/open?id=0B9-oNrvWdlO5S3loampQRU55UjQ	Balle de bastarde	GRAPHIC
027r			   	fig_p027r_2	https://drive.google.com/open?id=0B9-oNrvWdlO5cE1VQlVlV2ZWakE	Balle de moyene	GRAPHIC
027r			    	fig_p027r_3	https://drive.google.com/open?id=0B9-oNrvWdlO5M2Ftb2g0bG1FQ3c	Piece de campagne	GRAPHIC
027v	p026r_1		    	fig_p027v_1	https://drive.google.com/open?id=0B9-oNrvWdlO5bW1tdUg0czEzTjg	Faulconeau	GRAPHIC
027v	p026r_1		    	fig_p027v_2	https://drive.google.com/open?id=0B9-oNrvWdlO5OVloUjZocVpuVTg	Faulconeau de 4 quintals autrement passevo lants tire 8 pans	GRAPHIC
027v	p026r_1		    	fig_p027v_3	https://drive.google.com/open?id=0B9-oNrvWdlO5OGJ5MXhrMVFtVTA	3 quintals tire de long 9 pans	GRAPHIC
027v	p026r_1		   	fig_p027v_4	https://drive.google.com/open?id=0B9-oNrvWdlO5OWVRTXVjNTljRnM	2 quintals tire de long une cane qui sont 8 pans de monpelier	GRAPHIC
