Description,XPath Location,File,Location
cloth,/root[1]/div[1]/ab[1]/m[19]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p007r_preTEI.xml,"Start line 26:1
End line 26:1"
raw silk,/root[1]/div[5]/ab[1]/m[2]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p013r_preTEI.xml,"Start line 80:11
End line 80:11"
sulfur smoke,/root[1]/div[5]/ab[1]/m[2]/m[2],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p013r_preTEI.xml,"Start line 80:39
End line 80:39"
calamine,/root[1]/div[3]/ab[1]/m[6]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p032v_preTEI.xml,"Start line 59:46
End line 59:46"
gold,/root[1]/div[1]/ab[1]/m[9]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p039v_preTEI.xml,"Start line 18:1
End line 18:1"
sandarac,/root[1]/div[6]/ab[1]/m[2]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p042v_preTEI.xml,"Start line 62:44
End line 62:44"
oil,/root[1]/div[6]/ab[1]/m[2]/m[2],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p042v_preTEI.xml,"Start line 62:61
End line 62:61"
mastic,/root[1]/div[6]/ab[1]/m[2]/m[3],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p042v_preTEI.xml,"Start line 63:37
End line 63:37"
lead,/root[1]/div[2]/head[1]/m[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p049r_preTEI.xml,"Start line 45:19
End line 45:19"
turpentine,/root[1]/div[1]/ab[3]/m[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p057r_preTEI.xml,"Start line 30:21
End line 30:21"
oil,/root[1]/div[1]/ab[3]/m[1]/m[2],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p057r_preTEI.xml,"Start line 30:45
End line 30:45"
turpentine,/root[1]/div[1]/ab[3]/m[1]/m[3],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p057r_preTEI.xml,"Start line 31:13
End line 31:13"
wood,/root[1]/div[5]/ab[1]/m[8]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p058v_preTEI.xml,"Start line 81:19
End line 81:19"
musk,/root[1]/div[5]/ab[2]/m[4]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p058v_preTEI.xml,"Start line 98:31
End line 98:31"
oil,/root[1]/div[7]/ab[1]/m[1]/tl[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p065v_preTEI.xml,"Start line 115:5
End line 115:5"
oil,/root[1]/div[5]/ab[1]/m[4]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p067r_preTEI.xml,"Start line 76:30
End line 76:30"
,/root[1]/div[5]/ab[1]/m[4]/m[2],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p067r_preTEI.xml,"Start line 76:49
End line 76:49"
oil,/root[1]/div[5]/ab[1]/m[4]/m[3],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p067r_preTEI.xml,"Start line 78:1
End line 78:1"
sand,/root[1]/div[2]/head[1]/m[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p067v_preTEI.xml,"Start line 26:49
End line 26:49"
copper,/root[1]/div[2]/ab[2]/m[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p067v_preTEI.xml,"Start line 38:49
End line 38:49"
glass sand,/root[1]/div[3]/ab[1]/m[13]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p068r_preTEI.xml,"Start line 47:58
End line 47:58"
mastic,/root[1]/div[3]/ab[1]/m[7]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p074r_preTEI.xml,"Start line 51:4
End line 51:4"
arrabic,/root[1]/div[3]/ab[1]/m[7]/m[2],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p074r_preTEI.xml,"Start line 51:24
End line 51:24"
tiles,/root[1]/div[3]/ab[2]/m[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p081v_preTEI.xml,"Start line 36:6
End line 36:6"
lead,/root[1]/div[3]/ab[3]/m[2]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p081v_preTEI.xml,"Start line 40:23
End line 40:23"
lead,/root[1]/div[1]/head[1]/m[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p083r_preTEI.xml,"Start line 8:20
End line 8:20"
lead,/root[1]/div[4]/head[1]/m[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p084v_preTEI.xml,"Start line 71:19
End line 71:19"
lead,/root[1]/div[2]/head[1]/m[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p086v_preTEI.xml,"Start line 28:29
End line 28:29"
tin,/root[1]/div[2]/head[1]/m[1]/m[2],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p086v_preTEI.xml,"Start line 28:42
End line 28:42"
copper,/root[1]/div[2]/head[1]/m[1]/m[3],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p086v_preTEI.xml,"Start line 29:1
End line 29:1"
salt,/root[1]/div[2]/ab[1]/m[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p089v_preTEI.xml,"Start line 53:1
End line 53:1"
