Symbol,Meaning,Unicode reference
☉,Gold,http://unicode-table.com/en/2609/
☼,Gold,http://unicode-table.com/en/263C/
℥,Ounce,http://unicode-table.com/en/2125/
ʒ,Dram,http://unicode-table.com/en/0292/ [latin small letter ezh]
☿,Mercury,http://unicode-table.com/en/263F/
☾,Last quarter moon (silver?),http://unicode-table.com/en/263E/
♀/♀,Copper (Venus),http://unicode-table.com/en/2640/ [female sign]
♁,Antimony,http://unicode-table.com/en/2641/ [earth]
X, mark,
+, mark,
#, mark,
|, mark
🝋,Powder (Alchem.sign),http://unicode-table.com/en/1F74B/
