start-line,start-column,end-line,end-column,severity,systemID,description
13,7,13,11,error,/Users/terry/Github/ms-xml/tc/002v_tc_preTEI.xml,"element ""head"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
,,,,error,/Users/terry/Github/ms-xml/tc/003r_tc_preTEI.xml,"SAXParseException - The element type ""tmp"" must be terminated by the matching end-tag ""</tmp>""."
38,2,38,4,error,/Users/terry/Github/ms-xml/tc/009v_tc_preTEI.xml,"element ""ab"" not allowed yet; missing required element ""id"""
109,8,109,12,error,/Users/terry/Github/ms-xml/tc/010r_tc_preTEI.xml,"element ""head"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
1,2,1,6,error,/Users/terry/Github/ms-xml/tc/014v_tc_preTEI.xml,"element ""root"" incomplete; expected text or element ""ab"", ""div"" or ""figure"""
6,2,6,5,error,/Users/terry/Github/ms-xml/tc/022r_tc_preTEI.xml,"element ""del"" not allowed yet; missing required element ""id"""
17,2,17,6,error,/Users/terry/Github/ms-xml/tc/022v_tc_preTEI.xml,"element ""head"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
,,,,error,/Users/terry/Github/ms-xml/tc/025v_tc_preTEI.xml,"SAXParseException - The end-tag for element type ""del"" must end with a '>' delimiter."
43,9,43,15,error,/Users/terry/Github/ms-xml/tc/027v_tc_preTEI.xml,"character content of element ""margin"" invalid; must be equal to ""bottom"", ""left-bottom"", ""left-middle"", ""left-top"", ""right-bottom"", ""right-middle"", ""right-top"" or ""top"""
15,2,15,8,error,/Users/terry/Github/ms-xml/tc/028r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
15,9,15,13,error,/Users/terry/Github/ms-xml/tc/028r_tc_preTEI.xml,"character content of element ""margin"" invalid; must be equal to ""bottom"", ""left-bottom"", ""left-middle"", ""left-top"", ""right-bottom"", ""right-middle"", ""right-top"" or ""top"""
16,11,16,17,error,/Users/terry/Github/ms-xml/tc/028r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
91,2,91,8,error,/Users/terry/Github/ms-xml/tc/029v_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
62,2,62,6,error,/Users/terry/Github/ms-xml/tc/033r_tc_preTEI.xml,"element ""head"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
69,2,69,8,error,/Users/terry/Github/ms-xml/tc/033r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
