Rue de la Heaumerie, at the sign of St Claude: List of names Mestre Nicolas Costé, in the Rue de la Heaumerie, at the sign of St Claude / Mirrors. Mestre Jehan Cousin, who resides in the Faubourg
Faubourg Saint-Germain: Claude / Mirrors. Mestre Jehan Cousin, who resides in the Faubourg Saint-Germain , knows of the master. Mestre Jehan Garnier, in the
Rue des Escrivains: Saint-Germain, knows of the master. Mestre Jehan Garnier, in the Rue des Escrivains by St Jacques de la Boucherie, currier. Try pastel woad
St Jacques de la Boucherie: master. Mestre Jehan Garnier, in the Rue des Escrivains by St Jacques de la Boucherie , currier. Try pastel woad flowers. List The harvester that
Eleusinae: The harvester that leaves some ears is not blamed. Sacra Eleusinae deae propalare nefas. Trumpets, see the book of funerals. List
Ingolstadiensis: List of books and authors Vuolfangus Lazius Petrus Appianus, mathematicus Ingolstadiensis , Comment. urb. rom. Hieronimo Ruscelli Hermolaus Barbarus Angelius Bargaeus,
urb. rom.: books and authors Vuolfangus Lazius Petrus Appianus, mathematicus Ingolstadiensis, Comment. urb. rom. Hieronimo Ruscelli Hermolaus Barbarus Angelius Bargaeus, De aucupio et venatione
italie:            monsieur - Cathalogue des villes Calendrier des bergiers Grammaire italie ne Arithmetique of Savonne Instruction pour le faict des finances
Lyon: ænigmatiques Des præceptes d’agriculture + Le secret des finances à Lyon Synesius Olaus Magnus + Mestre Bernard Palissi, inventor of rustic
Alexandria: Statius Thebaidos Servius, in Aeneidem Macrobius Aulus Gellius Alexander ab Alexandria Festus Nonius Magius, Miscellanea Pollux, Onomasticon Higinus Berosus Suetonius Valerius
Romae: List of books Aquatilium animalium historiae, Hypolito Salviano Typhernate authore, Romae 1554 Les Annales de Normandie For loosening the belly Prunes
Normandie: historiae, Hypolito Salviano Typhernate authore, Romae 1554 Les Annales de Normandie For loosening the belly Prunes of Saint Antonin, & if
Saint Antonin: Les Annales de Normandie For loosening the belly Prunes of Saint Antonin , & if you like you want put among them
Brescia: of books Practica, cioè nova inventione di contegiare, stampata in Brescia per Vincenzo Sabio. Emeralds of Brissac I have taken minium,
Brissac: di contegiare, stampata in Brescia per Vincenzo Sabio. Emeralds of Brissac I have taken minium, 26 ℥, crystal and ground on
Venice: with walnut oil, and if you add in a little Venice laque platte, the color will be more vivid, and stir
Venice: colors of enamels. Varnish for panels Take a lb of Venice turpentine & heat it in a pot until it simmers,
Venice: polished them with the arene you can soften them with Venice tripoli, which should not be sandy, & next with putty.
armeni: horsetail, to render it well polished. Next take fine boli armeni & sanguine, as much of one as of the other,
Venice: lay in rouge clair & glaze with it de, grind Venice laque platte on marble with walnut or linseed oil. Once
Gascony: after that. But above all the grain called pomole in Gascony or baillard in France, makes the earth shake seven years
France: all the grain called pomole in Gascony or baillard in France , makes the earth shake seven years later, according to
