 |001r|1|0|2|0|0|1|4|0|3
 |001r|0|0|1|0|0|0|0|0|0
 |001r|0|0|5|0|0|0|3|0|6
 |001r|0|0|0|1|0|0|1|0|0
 |001r|0|0|0|0|0|0|2|0|26
 For easing the belly|001v|8|0|0|1|0|6|1|4|0
 Books to recover|002r|0|0|0|0|0|0|0|0|0
 Against pains|002r|3|0|0|0|0|1|0|1|0
 |002v|0|0|0|0|0|0|1|0|0
 Emeralds of Brissac|002v|9|3|0|0|9|0|1|0|0
 Sapphire|002v|6|0|1|0|5|0|0|0|0
 Counterfeit coral|003r|34|8|0|0|4|1|1|0|0
 Varnish for panels|003r|13|2|0|0|3|0|1|0|0
 Thick varnish for planks|003r|6|0|0|0|0|0|0|0|0
 |003v|14|7|0|0|7|0|0|0|0
 For varnishing|003v|12|0|0|0|0|0|0|0|0
 Varnish of spike lavender oil|004r|20|2|2|0|3|0|0|0|0
 For removing varnish from an old panel that has yellowed & varnish it anew|004r|9|3|0|0|2|0|0|0|0
 Black varnish for sword guard, bands for trunks, &c.|004v|28|2|1|0|9|11|0|0|0
 Black varnish without fire, without disassembling the harnessesc_004v_02 or removing the bands from trunks|004v|5|1|0|0|0|1|0|0|0
 Varnish of iron etchers|004v|13|2|1|0|1|2|0|0|0
 |005r|1|0|0|0|1|1|0|0|0
 Steel mirrors|005r|24|11|0|0|2|0|1|0|0
 Concave mirrors|005r|0|1|0|0|1|0|0|0|0
 |005v|4|16|2|0|3|0|0|0|2
 For bronzing in yellow and white|005v|9|2|0|0|2|0|0|0|0
 For laying down and setting burnished gold and giving red or green or blue|006r|50|4|0|1|1|14|2|0|0
 For ga cachcages|006v|4|20|1|0|1|1|0|0|0
 For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|006v|11|8|0|0|0|0|0|0|0
 For gilding with gold color and tinsel|007r|26|0|0|0|1|0|0|0|0
 For coloring stamped trunks|007r|9|0|0|0|0|1|0|0|0
 Doublets|007r|6|0|0|1|0|1|0|0|0
 Fish glue or isinglass and mouth glue|007r|15|1|2|2|1|0|0|0|0
 For giving the color of all kinds of metals to wood & other things|007v|6|0|0|0|0|0|0|0|0
 Against windy colic|007v|5|3|0|0|3|2|0|2|0
 For relieving the pain of goutc_007v_01|007v|9|5|0|0|3|0|0|1|0
 Against gonorrheac_007v_02|007v|4|0|1|0|3|0|0|2|0
 Lettering of gold on paper|008r|5|1|0|0|0|1|0|0|0
 For bursting grenades and giving force to fireworksc_008r_01|008r|3|0|0|0|2|0|0|0|0
 Tempering of balls for piercing armor of proofc_008r_02|008r|4|0|0|0|0|0|0|0|0
 For making a breach in a wall by night|008r|1|0|0|0|0|0|0|0|0
