 pastel woad flowers|001r||p001r_1
 Prunes of Saint Antonin|001v|For easing the belly|p001v_1
 leaves of mallow & gilliflower|001v|For easing the belly|p001v_1
 sugar|001v|For easing the belly|p001v_1
 cinnamon|001v|For easing the belly|p001v_1
 marshmallow root|001v|For easing the belly|p001v_1
 chicken broth|001v|For easing the belly|p001v_1
 syrup of sweet jujubes|001v|For easing the belly|p001v_1
 water|001v|For easing the belly|p001v_1
 Turpentine oil|002r|Against pains|p002r_2
 oil of Jacob|002r|Against pains|p002r_2
 salt extracted from cabbage ashes|002r|Against pains|p002r_2
 Emeralds of Brissac|002v|Emeralds of Brissac|p002v_2
 minium|002v|Emeralds of Brissac|p002v_2
 crystal|002v|Emeralds of Brissac|p002v_2
 marble|002v|Emeralds of Brissac|p002v_2
 verdet|002v|Emeralds of Brissac|p002v_2
 luted|002v|Emeralds of Brissac|p002v_2
 minium|002v|Emeralds of Brissac|p002v_2
 crystal|002v|Emeralds of Brissac|p002v_2
 verdet|002v|Emeralds of Brissac|p002v_2
 Sapphire|002v|Sapphire|p002v_3
 Pebbles|002v|Sapphire|p002v_3
 crystal|002v|Sapphire|p002v_3
 minium|002v|Sapphire|p002v_3
 blacksmith's salt|002v|Sapphire|p002v_3
 coryal|002v|Sapphire|p002v_3
 Counterfeit coral|003r|Counterfeit coral|p003r_1
 wood|003r|Counterfeit coral|p003r_1
 thorn branch|003r|Counterfeit coral|p003r_1
 clear pitch resin|003r|Counterfeit coral|p003r_1
 subtly ground vermilion|003r|Counterfeit coral|p003r_1
 walnut oil|003r|Counterfeit coral|p003r_1
 Venice laque platte|003r|Counterfeit coral|p003r_1
 resin|003r|Counterfeit coral|p003r_1
 charcoal|003r|Counterfeit coral|p003r_1
 charcoal|003r|Counterfeit coral|p003r_1
 Colophony|003r|Counterfeit coral|p003r_1
 resin|003r|Counterfeit coral|p003r_1
 leaded|003r|Counterfeit coral|p003r_1
 resin|003r|Counterfeit coral|p003r_1
 water|003r|Counterfeit coral|p003r_1
 coarse canvas|003r|Counterfeit coral|p003r_1
 very light tammy cloth|003r|Counterfeit coral|p003r_1
 vinegar|003r|Counterfeit coral|p003r_1
 vinegar|003r|Counterfeit coral|p003r_1
 coral|003r|Counterfeit coral|p003r_1
 mastic|003r|Counterfeit coral|p003r_1
 purified resin|003r|Counterfeit coral|p003r_1
 mastic|003r|Counterfeit coral|p003r_1
 Sulfur|003r|Counterfeit coral|p003r_1
 vermilion|003r|Counterfeit coral|p003r_1
 coral|003r|Counterfeit coral|p003r_1
 gules red enamel|003r|Counterfeit coral|p003r_1
 cement|003r|Counterfeit coral|p003r_1
 pestled than of glass|003r|Counterfeit coral|p003r_1
 brick|003r|Counterfeit coral|p003r_1
 vermilion|003r|Counterfeit coral|p003r_1
 gules red enamel|003r|Counterfeit coral|p003r_1
 pestled|003r|Counterfeit coral|p003r_1
 enamels|003r|Counterfeit coral|p003r_1
 Varnish|003r|Varnish for panels|p003r_2
 Venice turpentine|003r|Varnish for panels|p003r_2
 turpentine oil|003r|Varnish for panels|p003r_2
 charcoal|003r|Varnish for panels|p003r_2
 oil|003r|Varnish for panels|p003r_2
 turpentine|003r|Varnish for panels|p003r_2
 turpentine|003r|Varnish for panels|p003r_2
 turpentine oil|003r|Varnish for panels|p003r_2
 varnish|003r|Varnish for panels|p003r_2
 varnish|003r|Varnish for panels|p003r_2
 Mastic varnish|003r|Varnish for panels|p003r_2
 oil|003r|Varnish for panels|p003r_2
 rosin|003r|Varnish for panels|p003r_2
