 marble|002v|Emeralds of Brissac|p002v_2
 crucible covered by another well luted that has a hole in the top|002v|Emeralds of Brissac|p002v_2
 luted|002v|Emeralds of Brissac|p002v_2
 leaded pot|003r|Counterfeit coral|p003r_1
 brazier|003r|Counterfeit coral|p003r_1
 stick|003r|Counterfeit coral|p003r_1
 coarse canvas|003r|Counterfeit coral|p003r_1
 very light tammy cloth|003r|Counterfeit coral|p003r_1
 file|003r|Counterfeit coral|p003r_1
 pestled|003r|Counterfeit coral|p003r_1
 pestled|003r|Counterfeit coral|p003r_1
 pot|003r|Varnish for panels|p003r_2
 finger|003r|Varnish for panels|p003r_2
 vessel|003v||p003r_3
 vessel|003v||p003r_3
 vessel|003v||p003r_3
 oven|003v||p003r_3
 copper vessel|003v||p003r_3
 trivet|003v||p003r_3
 copper vessel|003v||p003r_3
 plate|004r|Varnish of spike lavender oil|p004r_1
 finger|004r|Varnish of spike lavender oil|p004r_1
 sieved|004r|For removing varnish from an old panel that has yellowed & varnish it anew|p004r_2
 sponge|004r|For removing varnish from an old panel that has yellowed & varnish it anew|p004r_2
 bucket|004r|For removing varnish from an old panel that has yellowed & varnish it anew|p004r_2
 feather|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 brosse|004v|Black varnish for sword guard, bands for trunks, &c.|p004v_1
 brosse|004v|Black varnish without fire, without disassembling the harnessesc_004v_02 or removing the bands from trunks|p004v_2
 steel point|004v|Varnish of iron etchers|p004v_3
 sponge|004v|Varnish of iron etchers|p004v_3
 mold|005r|Steel mirrors|p005r_1
 crucible|005r|Steel mirrors|p005r_1
 mold, of white stone with no eyelets|005r|Steel mirrors|p005r_1
 mold|005r|Steel mirrors|p005r_1
 molded|005r|Steel mirrors|p005r_1
 arene|005r|Steel mirrors|p005r_1
 tripoli of Venice|005r|Steel mirrors|p005r_1
 potée|005r|Steel mirrors|p005r_1
 arene|005r|Steel mirrors|p005r_1
 tripoli|005r|Steel mirrors|p005r_1
 potée|005r|Steel mirrors|p005r_1
 concave mirror|005r|Concave mirrors|p005r_2
 concave mirror|005v||p005r_2
 candle|005v||p005r_2
 window|005v||p005r_2
 candle|005v||p005r_2
 candle|005v||p005r_2
 mirror|005v||p005r_2
 table|005v||p005r_2
 candle|005v||p005r_2
 table|005v||p005r_2
 sheet of paper|005v||p005r_2
 window|005v||p005r_2
 sheet|005v||p005r_2
 sheet|005v||p005r_2
 mirror|005v||p005r_2
 sheet of paper|005v||p005r_2
 candle|005v||p005r_2
 marble|005v|For bronzing in yellow and white|p005v_1
 tooth|005v|For bronzing in yellow and white|p005v_1
 cloth|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 pinceau|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 marble|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 pinceau|006r|For laying down and setting burnished gold and giving red or green or blue|p006r_1
 thin enamel canes|006v|For ga cachcages|p006v_1
 thin canes|006v|For ga cachcages|p006v_1
 cutting file|006v|For ga cachcages|p006v_1
 wood model|006v|For ga cachcages|p006v_1
 chafing-dish|006v|For ga cachcages|p006v_1
 lamp|006v|For ga cachcages|p006v_1
 small furnace|006v|For ga cachcages|p006v_1
 reverberatory furnace|006v|For ga cachcages|p006v_1
 cane|006v|For ga cachcages|p006v_1
 small pincers with a long beak|006v|For ga cachcages|p006v_1
 small pincers|006v|For ga cachcages|p006v_1
 thin cane|006v|For ga cachcages|p006v_1
 thin cane|006v|For ga cachcages|p006v_1
 thin cane|006v|For ga cachcages|p006v_1
 furnace|006v|For ga cachcages|p006v_1
 thin canes|006v|For ga cachcages|p006v_1
 file|006v|For ga cachcages|p006v_1
 furnace|006v|For ga cachcages|p006v_1
 grate|006v|For ga cachcages|p006v_1
 furnace|006v|For ga cachcages|p006v_1
 burin|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 chisel|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 polished marble|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 wooden board|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 table|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 roll-press|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 piece of felt|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 hammer|006v|For stamped ornamentsc_006v_03 used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances|p006v_2
 mouth|007r|Fish glue or isinglass and mouth glue|p007r_4
 brazier|007v|Against windy colic|p007v_2
 tongs|007v|Against windy colic|p007v_2
 glass of good wine|007v|Against windy colic|p007v_2
 mortar|007v|For relieving the pain of goutc_007v_01|p007v_3
 pot|007v|For relieving the pain of goutc_007v_01|p007v_3
 alembic well luted & covered with a copper helmet|007v|For relieving the pain of goutc_007v_01|p007v_3
 luted|007v|For relieving the pain of goutc_007v_01|p007v_3
 linen cloth|007v|For relieving the pain of goutc_007v_01|p007v_3
 linen cloth|008r|Lettering of gold on paper|p008r_1
 marble|008v|Or and argent moulu|p008v_2
 copper blade|008v|Or and argent moulu|p008v_2
 wheels for doing this, one of tin, one of lead, & one of fine copper|008v|Polishing of stones|p008v_3
 copper wheel|008v|Polishing of stones|p008v_3
 tin wheel|008v|Polishing of stones|p008v_3
 stoneware vessel|008v|Perfect amalgam|p008v_5
 feather|009r|Painter|p009r_2
 brush|009r|Painter|p009r_2
 glass bottle|009v|Painters|p009v_1
 matrass|009v|Painters|p009v_1
 file|010r|Counterfeit jasper|p010r_1
 plane|010r|Counterfeit jasper|p010r_1
 iron|010r|Powder for sand glasses|p010r_5
 marble|010r|Powder for sand glasses|p010r_5
 fine sieve|010r|Powder for sand glasses|p010r_5
 thread|010v|For whitening ceruse|p010v_4
 awl|011r|Painting esmail d’azur in oil|p011r_1
 marble|011r|Painting esmail d’azur in oil|p011r_1
 waters|011r|Painting esmail d’azur in oil|p011r_1
 painceau|011r|Painting esmail d’azur in oil|p011r_1
 broisse|011r|Painting esmail d’azur in oil|p011r_1
 trowel|011r|Painting esmail d’azur in oil|p011r_1
 waters|011r|Painting esmail d’azur in oil|p011r_1
 waters|011r|Painting esmail d’azur in oil|p011r_1
 water|011r|Painting esmail d’azur in oil|p011r_1
 sponge|011r|Painting esmail d’azur in oil|p011r_1
 vessel|011r|Painting esmail d’azur in oil|p011r_1
 sieves|011r|Painting esmail d’azur in oil|p011r_1
 rock water|011r|Painting esmail d’azur in oil|p011r_1
 alembic|011r|Painting esmail d’azur in oil|p011r_1
 fingernail|011r|Painting esmail d’azur in oil|p011r_1
 oil palette|011r|Painting esmail d’azur in oil|p011r_1
 clear water|011r|Painting esmail d’azur in oil|p011r_1
 sponge|011r|Painting esmail d’azur in oil|p011r_1
 colored water|011r|Painting esmail d’azur in oil|p011r_1
 knives|011v|Color of damascene steel on knives|p011v_1
 ashes|011v|Color of damascene steel on knives|p011v_1
 sand|011v|Color of damascene steel on knives|p011v_1
 touchstone|011v|Color of damascene steel on knives|p011v_1
 head band|011v|For getting rid of the redness of eyes or bruising|p011v_2
 diamond points|011v|For diamond points for engraving|p011v_4
 points|011v|For diamond points for engraving|p011v_4
 pumice stone powder|011v|For diamond points for engraving|p011v_4
 lead wheel|011v|For diamond points for engraving|p011v_4
 Polishing wheel of copper|011v|Polishing wheel of copper|p011v_5
 piece of leather|011v|Polishing wheel of copper|p011v_5
 wheel|011v|Polishing wheel of copper|p011v_5
 pot|012r|Chimolee|p012r_2
 oven|012r|Chimolee|p012r_2
 covered oven|012r|Chimolee|p012r_2
 tooth|012r|Paper|p012r_3
 tooth|012r|Paper|p012r_3
 reverberatory furnace|012r|Plaster|p012r_4
 fours de barbiers|012r|Plaster|p012r_4
 marble|012r|Plaster|p012r_4
 finger|012r|Plaster|p012r_4
 finger|012r|Plaster|p012r_4
 relief medal|012v|Molding stucco promptly|p012v_1
 pestled|012v|Molding stucco promptly|p012v_1
 goldsmiths' bouteure|012v|Cleaning yellow pearls|p012v_2
 marble|012v|For whitening enilanroc|p012v_3
 iron casket|012v|For whitening enilanroc|p012v_3
 goldsmith's forge|012v|For whitening enilanroc|p012v_3
 lead wheel|012v|For whitening enilanroc|p012v_3
 glassworkers' solders|013r||p012v_3
 diamond point|013r||p012v_3
 hog bristles|013r||p012v_3
 tripoli|013r||p012v_3
 marble|013r|Carnation from arsenic|p013r_1
 copper wheel|013r|Polishing of stones|p013r_3
 brushes|013r|Polishing of stones|p013r_3
 tripoli|013r|Polishing of stones|p013r_3
 wheel|013r|Polishing of stones|p013r_3
 Fine sieves of raw silk|013r|Fine sieves of raw silk|p013r_4
 loom|013r|Fine sieves of raw silk|p013r_4
 fine & delicate sieves|013r|Fine sieves of raw silk|p013r_4
 finger|013v|For knowing the good azurite ash for oil|p013v_1
 brazier|013v|Toadstone|p013v_3
 Candles|013v|Candles|p013v_5
 candle|013v|Candles|p013v_5
 ditch-spade|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 measuring line|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 long poles|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 chevron beams|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 boards|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 beaters|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 mallet|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 boards|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 bat|014r|Forc_014r_01 walls of earth and rustic construction|p014r_1
 frame|015r|Foundry casting|p015r_2
 frame|015r|Casting gold and silver|p015r_3
 silverpoint|015v|Tablets|p015v_1
 cuttlefish bone|015v|Tablets|p015v_1
 little handle|015v|Letter, more legible|p015v_2
 wooden mallet|015v|Stamping|p015v_3
 round or oval-shaped triblet|015v|Softening horn|p015v_4
 small forges|016r|Founding of doux iron|p016r_1
 iron pots|016r|Founding of doux iron|p016r_1
 furnace|016r|Founding of doux iron|p016r_1
 bellows' pipes|016r|Founding of doux iron|p016r_1
 furnace|016r|Founding of doux iron|p016r_1
 furnace|016r|Founding of doux iron|p016r_1
 square furnace|016r|Founding of doux iron|p016r_1
 round furnace|016r|Founding of doux iron|p016r_1
 furnace|016r|Founding of doux iron|p016r_1
 furnace|016r|Founding of doux iron|p016r_1
 reverberatory furnace|016r|Founding of doux iron|p016r_1
 bellows|016r|Founding of doux iron|p016r_1
 forges|016r|Founding of doux iron|p016r_1
 bellows|016r|Founding of doux iron|p016r_1
 furnace|016r|Founding of doux iron|p016r_1
 molds|016r|Founding of doux iron|p016r_1
 furnace|016r|Founding of doux iron|p016r_1
 biggest charcoal|016r|Founding of doux iron|p016r_1
 furnace|016r|Founding of doux iron|p016r_1
 mold|016r|Founding of doux iron|p016r_1
 calibre|016r|Founding of doux iron|p016r_1
 mold|016r|Founding of doux iron|p016r_1
 large file|016r|Founding of doux iron|p016r_1
 furnace|016v||p016r_1
 big charcoal|016v||p016r_1
 charcoal|016v||p016r_1
 furnace|016v||p016r_1
 new charcoal|016v||p016r_1
 furnace|016v||p016r_1
 charcoal|016v||p016r_1
 charcoal|016v||p016r_1
 furnace|016v||p016r_1
 molds|016v||p016r_1
 iron or metal shells|016v||p016r_1
 mold|016v||p016r_1
 needle’s worth of fine silk|016v|For removing fine hair from the forehead|p016v_2
 well closed andtin vessel|016v|Keeping oranges|p016v_4
 Candles|016v|Candles|p016v_5
 candle|016v|Candles|p016v_5
 ladle|017v||p017r_1
 ladles|017v||p017r_1
 cauldrons|017v||p017r_1
 burin|017v||p017r_1
 burin|017v||p017r_1
 ladle|018v||p017r_1
 ladles|018v||p017r_1
 ladle|018v||p017r_1
 ladle|019r||p017r_1
 ladle|019r||p017r_1
 ladle|019r||p017r_1
 ladle|019r||p017r_1
 ruler|019v|Mathematical figures without ruler and compass|p019v_1
 compass|019v|Mathematical figures without ruler and compass|p019v_1
 quill|019v|Mathematical figures without ruler and compass|p019v_1
 nail of your right thumb|019v|Mathematical figures without ruler and compass|p019v_1
 big finger|019v|Mathematical figures without ruler and compass|p019v_1
 ruler|019v|Mathematical figures without ruler and compass|p019v_1
 compass|019v|Mathematical figures without ruler and compass|p019v_1
